setting,regime,signal,arm,seed,rep,device,test_acc,test_auc,test_dp,test_eo,secs
pokec_n_g,mixed,uniform,across,33,0,cuda,0.6377272727272727,0.6990044317350623,0.05597023334076168,0.010761162377486144,5.3
pokec_n_g,mixed,uniform,across,34,0,cuda,0.63,0.6993329229262029,0.005797420790422336,0.06284031638677134,4.8
pokec_n_g,mixed,uniform,across,35,0,cuda,0.6195454545454545,0.7341811219339444,0.04169285354793639,0.009614833495729891,4.2
pokec_n_g,mixed,uniform,across,36,0,cuda,0.6031818181818182,0.7129599290392833,0.03411597679362399,0.013232934028772791,3.6
credit,degree-skewed,uniform,within,27,0,cuda,0.7881333333333334,0.6899596902815096,0.028947026910919993,0.013072185098476186,8.8
credit,degree-skewed,uniform,within,27,1,cuda,0.7881333333333334,0.6899585551162466,0.028947026910919993,0.013072185098476186,8.3
credit,degree-skewed,uniform,within,27,2,cuda,0.7881333333333334,0.6899564395809836,0.028947026910919993,0.013072185098476186,9.1
credit,degree-skewed,uniform,within,27,3,cuda,0.7865333333333333,0.6741541135448023,0.039970772116053155,0.032578228642383245,8.8
credit,degree-skewed,uniform,within,27,4,cuda,0.7881333333333334,0.6899596386830886,0.028947026910919993,0.013072185098476186,7.3
credit,degree-skewed,uniform,within,27,5,cuda,0.7881333333333334,0.6899607738483516,0.028947026910919993,0.013072185098476186,7.7
credit,degree-skewed,uniform,within,27,6,cuda,0.7881333333333334,0.6899606190530885,0.028947026910919993,0.013072185098476186,8.2
credit,degree-skewed,uniform,within,27,7,cuda,0.7881333333333334,0.6899569039667731,0.028947026910919993,0.013072185098476186,8.6
credit,degree-skewed,uniform,within,27,8,cuda,0.7865333333333333,0.6741567450642756,0.039970772116053155,0.032578228642383245,8.2
credit,degree-skewed,uniform,within,27,9,cuda,0.7881333333333334,0.6899556140062469,0.028947026910919993,0.013072185098476186,9.2
credit,degree-skewed,uniform,across,27,0,cuda,0.7865333333333333,0.6741542167416443,0.039970772116053155,0.032578228642383245,8.2
credit,degree-skewed,uniform,across,28,0,cuda,0.6856,0.7245562767982849,0.05245314130497092,0.024516818161842036,5.5
credit,degree-skewed,uniform,across,29,0,cuda,0.6922666666666667,0.7250492481129683,0.06625434523978224,0.03800501598874351,5.1
credit,degree-skewed,uniform,across,30,0,cuda,0.688,0.722953681438985,0.05467229545648755,0.026462804290778408,4.8
credit,degree-skewed,uniform,across,31,0,cuda,0.7141333333333333,0.7242808444267359,0.09183492340039878,0.06737469525298567,4.4
credit,degree-skewed,uniform,across,32,0,cuda,0.7784,0.6288988411923404,0.0019994549072095413,0.010184676876917598,7.9
