seed,family,dataset,comparison,pairing,a_method,a_protocol,a_selector,b_method,b_protocol,b_selector,coordinate,n_units,delta_mean,lo,hi,sign_stability,excludes_zero,status
20260924,configuration,pokec_z,FairSIN: GCN -> GIN,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-GIN,controlled,common_bce,negEO,30,-0.009270133333333331,-0.024846709166666665,0.007553261666666669,0.8709,False,ok
20260924,configuration,bail,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,dAUC,30,0.00972489999999998,-0.007993500000000035,0.024408445833333337,0.8728,False,ok
20260924,configuration,bail,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,negDP,30,-0.007464233333333334,-0.015710965,0.0013485899999999967,0.951,False,ok
20260924,configuration,bail,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,negEO,30,0.0006596666666666663,-0.00962127416666667,0.012592031666666666,0.5333,False,ok
20260924,configuration,credit,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,dAUC,30,0.03191013333333335,0.015777786666666675,0.05686378666666667,1.0,True,ok
20260924,configuration,credit,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,negDP,30,-0.1259564333333333,-0.17199381916666667,-0.08337625666666666,1.0,True,ok
20260924,configuration,credit,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,negEO,30,-0.09722896666666667,-0.13903244416666666,-0.0600011775,1.0,True,ok
20260924,configuration,german,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,dAUC,30,0.0946288,0.051580118333333334,0.13974528333333328,1.0,True,ok
20260924,configuration,german,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,negDP,30,-0.1743801,-0.28106524916666664,-0.06840869833333338,1.0,True,ok
20260924,configuration,german,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,negEO,30,-0.11841980000000002,-0.2047671725,-0.03880717833333335,0.9996,True,ok
20260924,configuration,pokec_n,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,dAUC,30,-0.002879933333333351,-0.010925509999999996,0.004784573333333322,0.7689,False,ok
20260924,configuration,pokec_n,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,negDP,30,0.003870566666666669,-0.020301677499999997,0.03185141833333332,0.5943,False,ok
20260924,configuration,pokec_n,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,negEO,30,0.010353766666666668,-0.013697565833333335,0.03837518333333335,0.7687,False,ok
20260924,configuration,pokec_z,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,dAUC,30,-0.004054366666666631,-0.008783276666666662,0.0008149650000000556,0.9503,False,ok
20260924,configuration,pokec_z,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,negDP,30,-0.021243300000000003,-0.03445540166666666,-0.009590970833333339,0.9999,True,ok
20260924,configuration,pokec_z,FairSIN: GCN -> SAGE,same_split_different_run,FairSIN-GCN,controlled,common_bce,FairSIN-SAGE,controlled,common_bce,negEO,30,-0.01825603333333333,-0.028569555833333333,-0.009056043333333343,1.0,True,ok
20260924,configuration,bail,FairVGNN: default -> GCNspmm,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-GCNspmm,controlled,common_bce,dAUC,30,0.0013264333333333285,-0.0024883266666666636,0.007515429999999991,0.653,False,ok
20260924,configuration,bail,FairVGNN: default -> GCNspmm,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-GCNspmm,controlled,common_bce,negDP,30,0.0012141666666666666,-0.0029999874999999984,0.005906524166666663,0.6879,False,ok
20260924,configuration,bail,FairVGNN: default -> GCNspmm,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-GCNspmm,controlled,common_bce,negEO,30,0.0020503999999999987,-0.005048446666666667,0.009364051666666661,0.7087,False,ok
20260924,configuration,german,FairVGNN: default -> GCNspmm,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-GCNspmm,controlled,common_bce,dAUC,30,0.010133333333333355,-0.008155184166666638,0.031045257499999993,0.8342,False,ok
20260924,configuration,german,FairVGNN: default -> GCNspmm,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-GCNspmm,controlled,common_bce,negDP,30,0.04896056666666667,-0.03344068000000003,0.13421444333333327,0.8775,False,ok
20260924,configuration,german,FairVGNN: default -> GCNspmm,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-GCNspmm,controlled,common_bce,negEO,30,0.06632300000000001,-0.02723177499999998,0.15919857999999995,0.9158,False,ok
20260924,configuration,credit,FairVGNN: default -> GIN,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-GIN,controlled,common_bce,dAUC,30,-0.060158100000000006,-0.08682307916666669,-0.03647630500000002,1.0,True,ok
20260924,configuration,credit,FairVGNN: default -> GIN,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-GIN,controlled,common_bce,negDP,30,0.0962703,0.046429225000000005,0.15112513249999998,1.0,True,ok
20260924,configuration,credit,FairVGNN: default -> GIN,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-GIN,controlled,common_bce,negEO,30,0.09393846666666666,0.040031181666666665,0.15718503749999996,1.0,True,ok
20260924,configuration,german,FairVGNN: default -> GIN,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-GIN,controlled,common_bce,dAUC,30,0.008652700000000011,-0.021842118333333327,0.042648837500000016,0.6892,False,ok
20260924,configuration,german,FairVGNN: default -> GIN,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-GIN,controlled,common_bce,negDP,30,0.08394083333333335,0.0032904216666666975,0.1581267375,0.9785,True,ok
20260924,configuration,german,FairVGNN: default -> GIN,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-GIN,controlled,common_bce,negEO,30,0.09095403333333332,0.004791155000000019,0.16356551750000006,0.9808,True,ok
20260924,configuration,bail,FairVGNN: default -> SAGE,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-SAGE,controlled,common_bce,dAUC,30,0.0542636,0.03709974333333333,0.07816644083333332,1.0,True,ok
20260924,configuration,bail,FairVGNN: default -> SAGE,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-SAGE,controlled,common_bce,negDP,30,0.0168564,-0.018191339999999997,0.05916642416666666,0.7902,False,ok
20260924,configuration,bail,FairVGNN: default -> SAGE,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-SAGE,controlled,common_bce,negEO,30,0.024637866666666664,-0.004826059166666665,0.058921711666666675,0.9308,False,ok
20260924,configuration,credit,FairVGNN: default -> SAGE,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-SAGE,controlled,common_bce,dAUC,30,0.0031293999999999897,-0.0017420433333333284,0.008300195833333338,0.8877,False,ok
20260924,configuration,credit,FairVGNN: default -> SAGE,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-SAGE,controlled,common_bce,negDP,30,0.023199633333333337,-0.033162372499999995,0.09051530333333331,0.7689,False,ok
20260924,configuration,credit,FairVGNN: default -> SAGE,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-SAGE,controlled,common_bce,negEO,30,0.027697666666666666,-0.03941819666666667,0.10424571583333331,0.779,False,ok
20260924,configuration,german,FairVGNN: default -> SAGE,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-SAGE,controlled,common_bce,dAUC,30,0.011479399999999999,-0.018563769166666664,0.041867935833333335,0.7675,False,ok
20260924,configuration,german,FairVGNN: default -> SAGE,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-SAGE,controlled,common_bce,negDP,30,0.03560806666666668,-0.09231786499999999,0.16910009083333327,0.7005,False,ok
20260924,configuration,german,FairVGNN: default -> SAGE,same_split_different_run,FairVGNN,controlled,common_bce,FairVGNN-SAGE,controlled,common_bce,negEO,30,0.041659700000000015,-0.1018708333333333,0.1904849208333333,0.7017,False,ok
20260924,selector,bail,BIND (1pct): BCE -> AUC selector,same_run,BIND-1pct,controlled,common_bce,BIND-1pct,controlled,common_auc,dAUC,30,-0.0033337666666666634,-0.005370014166666654,-0.001310908333333329,0.9999,True,ok
20260924,selector,bail,BIND (1pct): BCE -> AUC selector,same_run,BIND-1pct,controlled,common_bce,BIND-1pct,controlled,common_auc,negDP,30,-0.0020814333333333333,-0.0064991441666666675,0.0020774333333333315,0.8357,False,ok
20260924,selector,bail,BIND (1pct): BCE -> AUC selector,same_run,BIND-1pct,controlled,common_bce,BIND-1pct,controlled,common_auc,negEO,30,-0.0007066000000000006,-0.006622973333333332,0.004892682499999998,0.5895,False,ok
20260924,selector,income,BIND (1pct): BCE -> AUC selector,same_run,BIND-1pct,controlled,common_bce,BIND-1pct,controlled,common_auc,dAUC,30,0.00011929999999999996,-0.0006280449999999922,0.0010976708333333266,0.5855,False,ok
20260924,selector,income,BIND (1pct): BCE -> AUC selector,same_run,BIND-1pct,controlled,common_bce,BIND-1pct,controlled,common_auc,negDP,30,-0.04128476666666666,-0.06698369583333333,-0.01931544083333333,1.0,True,ok
20260924,selector,income,BIND (1pct): BCE -> AUC selector,same_run,BIND-1pct,controlled,common_bce,BIND-1pct,controlled,common_auc,negEO,30,-0.051150366666666676,-0.08941458416666669,-0.011834830833333341,0.9951,True,ok
20260924,selector,bail,BeMap (default): BCE -> AUC selector,same_run,BeMap,controlled,common_bce,BeMap,controlled,common_auc,dAUC,30,0.0026060333333333277,-0.007985854166666688,0.019983495000000007,0.5635,False,ok
20260924,selector,bail,BeMap (default): BCE -> AUC selector,same_run,BeMap,controlled,common_bce,BeMap,controlled,common_auc,negDP,30,-0.01589123333333333,-0.02928010916666667,-0.0036430116666666683,0.9985,True,ok
20260924,selector,bail,BeMap (default): BCE -> AUC selector,same_run,BeMap,controlled,common_bce,BeMap,controlled,common_auc,negEO,30,-0.012181433333333332,-0.021676793333333326,-0.003461685833333333,0.9976,True,ok
20260924,selector,credit,BeMap (default): BCE -> AUC selector,same_run,BeMap,controlled,common_bce,BeMap,controlled,common_auc,dAUC,30,0.02537146666666668,0.020394669166666667,0.0333002575,1.0,True,ok
20260924,selector,credit,BeMap (default): BCE -> AUC selector,same_run,BeMap,controlled,common_bce,BeMap,controlled,common_auc,negDP,30,0.019592599999999998,-0.013560725,0.0531974375,0.8713,False,ok
20260924,selector,credit,BeMap (default): BCE -> AUC selector,same_run,BeMap,controlled,common_bce,BeMap,controlled,common_auc,negEO,30,0.028018199999999993,-0.006718185833333339,0.06448888999999997,0.9386,False,ok
20260924,selector,pokec_z,BeMap (default): BCE -> AUC selector,same_run,BeMap,controlled,common_bce,BeMap,controlled,common_auc,dAUC,30,-0.0011850333333333371,-0.003570036666666655,0.0010674049999999978,0.846,False,ok
20260924,selector,pokec_z,BeMap (default): BCE -> AUC selector,same_run,BeMap,controlled,common_bce,BeMap,controlled,common_auc,negDP,30,-0.002462366666666666,-0.016286244166666675,0.011883612499999996,0.6394,False,ok
20260924,selector,pokec_z,BeMap (default): BCE -> AUC selector,same_run,BeMap,controlled,common_bce,BeMap,controlled,common_auc,negEO,30,-0.014527499999999999,-0.025952138333333333,-0.002953250833333334,0.9937,True,ok
20260924,selector,bail,EDITS (default): BCE -> AUC selector,same_run,EDITS,controlled,common_bce,EDITS,controlled,common_auc,dAUC,30,0.006614799999999999,-0.0023877675000000017,0.01678678333333333,0.9127,False,ok
20260924,selector,bail,EDITS (default): BCE -> AUC selector,same_run,EDITS,controlled,common_bce,EDITS,controlled,common_auc,negDP,30,0.002203333333333332,-0.0049091475,0.011820983333333328,0.6735,False,ok
20260924,selector,bail,EDITS (default): BCE -> AUC selector,same_run,EDITS,controlled,common_bce,EDITS,controlled,common_auc,negEO,30,0.0013675666666666674,-0.0038716691666666665,0.007034925833333329,0.6829,False,ok
20260924,selector,credit,EDITS (default): BCE -> AUC selector,same_run,EDITS,controlled,common_bce,EDITS,controlled,common_auc,dAUC,30,0.001158866666666647,-0.000526302500000013,0.003284929999999961,0.89,False,ok
20260924,selector,credit,EDITS (default): BCE -> AUC selector,same_run,EDITS,controlled,common_bce,EDITS,controlled,common_auc,negDP,30,-0.035004633333333326,-0.09012752916666665,0.030382894166666667,0.8638,False,ok
20260924,selector,credit,EDITS (default): BCE -> AUC selector,same_run,EDITS,controlled,common_bce,EDITS,controlled,common_auc,negEO,30,-0.04135503333333336,-0.10427913333333336,0.0313453908333333,0.8763,False,ok
20260924,selector,german,EDITS (default): BCE -> AUC selector,same_run,EDITS,controlled,common_bce,EDITS,controlled,common_auc,dAUC,30,0.0038096333333333177,-0.0024814233333333474,0.015126336666666646,0.7909,False,ok
20260924,selector,german,EDITS (default): BCE -> AUC selector,same_run,EDITS,controlled,common_bce,EDITS,controlled,common_auc,negDP,30,0.010991333333333337,-0.011479564166666659,0.040917838333333324,0.8002,False,ok
