family,method,dataset,configuration,native_evaluation_role,coordinate,n_matched_units,tau_controlled,tau_published,delta_attr,abs_delta_attr,ci_low,ci_high,ci_excludes_zero,rerun_max_cross_cell,exceeds_rerun_max,rerun_max_same_cell,exceeds_same_cell_max,bootstrap_seed,bootstrap_reps
native,SFG,bail,default,systematic,negEO,30,0.007004775222389703,0.003449107462378435,-0.0035556677600112672,0.0035556677600112672,-0.011981412996489551,0.001575317657988665,False,0.045986,False,,,20260914,10000
re_execution,SFG,credit,default,systematic,dAUC,30,-0.009024333368179463,-0.00929456289893964,-0.0002702295307601762,0.0002702295307601762,-0.0024612496287923615,0.0019197386904602806,False,0.01174,False,,,20260914,10000
re_execution,SFG,credit,default,systematic,negDP,30,-0.0014645119121810862,-0.0009544332648502937,0.0005100786473307933,0.0005100786473307933,-0.008275087503719053,0.012262836120477493,False,0.066773,False,,,20260914,10000
re_execution,SFG,credit,default,systematic,negEO,30,0.0011074170919870329,-0.00033286302361075314,-0.0014402801155977863,0.0014402801155977863,-0.008632199578791317,0.0066472095129428066,False,0.045986,False,,,20260914,10000
re_execution,SFG,german,default,systematic,dAUC,30,-0.011873015873015876,-0.01511365079365079,-0.0032406349206349143,0.0032406349206349143,-0.03392825396825398,0.019946793650793656,False,0.01174,False,0.00116,True,20260914,10000
re_execution,SFG,german,default,systematic,negDP,30,0.07339332584567933,0.027683462149950367,-0.045709863695728964,0.045709863695728964,-0.12173765538730491,0.033262245439085444,False,0.066773,False,0.0489,False,20260914,10000
re_execution,SFG,german,default,systematic,negEO,30,0.06468968161141524,0.03486848740678303,-0.02982119420463221,0.02982119420463221,-0.09061978759721973,0.03594523213984172,False,0.045986,False,0.04079,False,20260914,10000
procedure,FairGB,german,default,targeted,dAUC,30,0.03194920634920633,0.025706666666666666,-0.006242539682539666,0.006242539682539666,-0.029527111111111073,0.015342730158730193,False,0.01174,False,,,20260914,10000
procedure,FairGB,german,default,targeted,negDP,30,-0.027261487455429348,0.020373068479004906,0.04763455593443426,0.04763455593443426,-0.027280083782383557,0.12385645088712843,False,0.066773,False,,,20260914,10000
procedure,FairGB,german,default,targeted,negEO,30,-0.016467232365759532,0.021555914339731155,0.038023146705490694,0.038023146705490694,-0.029336666666666667,0.10519793200170136,False,0.045986,False,,,20260914,10000
procedure,FairVGNN,credit,default,targeted,dAUC,30,-0.011991887558647196,-0.01812627592145578,-0.0061343883628085846,0.0061343883628085846,-0.015448786511773725,0.0016704993973819954,False,0.01174,False,,,20260914,10000
procedure,FairVGNN,credit,default,targeted,negDP,30,-0.00013312788501763096,0.03194704861142296,0.032080176496440585,0.032080176496440585,-0.005034012687507368,0.08045376203774877,False,0.066773,False,,,20260914,10000
procedure,FairVGNN,credit,default,targeted,negEO,30,-0.01385562841854202,0.020023331103441566,0.03387895952198359,0.03387895952198359,-0.005358302546592203,0.08891817826308343,False,0.045986,False,,,20260914,10000
procedure,FairVGNN,german,default,targeted,dAUC,30,0.012540952380952375,-0.14089142857142858,-0.15343238095238096,0.15343238095238096,-0.1920476190476191,-0.1115486984126984,True,0.01174,True,1e-05,True,20260914,10000
procedure,FairVGNN,german,default,targeted,negDP,30,-0.0028977891748784984,0.19028410555557157,0.19318189473045005,0.19318189473045005,0.0628484231798524,0.3396352218897196,True,0.066773,True,0.00015,True,20260914,10000
procedure,FairVGNN,german,default,targeted,negEO,30,-0.002549478763136451,0.14933964373574485,0.15188912249888134,0.15188912249888134,0.022738517729639095,0.2973815783006463,True,0.045986,True,0.00063,True,20260914,10000
procedure,NIFTY,german,default,targeted,dAUC,30,-0.03058920634920633,0.05054222222222224,0.08113142857142856,0.08113142857142856,0.04785019047619048,0.11377911111111114,True,0.01174,True,0.00029,True,20260914,10000
procedure,NIFTY,german,default,targeted,negDP,30,-0.006451846881340765,-0.15102324761229438,-0.14457140073095362,0.14457140073095362,-0.22462284890864806,-0.058947290251353236,True,0.066773,True,0.00126,True,20260914,10000
procedure,NIFTY,german,default,targeted,negEO,30,0.004244640468480539,-0.12220322267796005,-0.1264478631464406,0.1264478631464406,-0.19157820202416068,-0.05885407563025207,True,0.045986,True,0.00438,True,20260914,10000
