cell,split_id,run_id,common_epoch,sel_M1,sel_M0,grid_restricted,common_dAUC,common_negDP,common_negEO,indep_dAUC,indep_negDP,indep_negEO
NIFTY/German D0,23,0,440,968,441,False,0.06499047619047615,-0.04852941176470582,-0.01200000000000001,0.05363809523809526,-0.08382352941176463,-0.06000000000000005
NIFTY/German D0,23,1,390,390,456,False,-0.016838095238095208,0.17941176470588244,0.17199999999999993,-0.024380952380952392,0.1536764705882353,0.18399999999999994
NIFTY/German D0,23,2,1000,1000,1000,False,-0.02293333333333325,-0.12941176470588234,-0.1160000000000001,-0.02293333333333325,-0.12941176470588234,-0.1160000000000001
NIFTY/German D0,23,3,1000,1000,424,False,-0.003809523809523818,0.04705882352941185,0.004000000000000031,0.002666666666666706,0.1286764705882353,0.07599999999999998
NIFTY/German D0,23,4,938,938,1000,False,-0.017752380952380964,-0.10147058823529409,-0.068,-0.018819047619047624,-0.09632352941176464,-0.05199999999999999
NIFTY/German D0,24,0,396,396,370,False,0.04434285714285713,-0.14550199820569287,-0.08427526595744683,0.059352380952380934,-0.14550199820569287,-0.08427526595744683
NIFTY/German D0,24,1,351,351,238,False,0.022704761904761894,-0.12193132697169895,-0.1389627659574469,0.03127619047619046,0.05717315064024131,0.05817819148936165
NIFTY/German D0,24,2,1000,1000,1000,False,0.035428571428571476,-0.3003833292553626,-0.3143284574468085,0.035428571428571476,-0.3003833292553626,-0.3143284574468085
NIFTY/German D0,24,3,984,984,401,False,-0.0035809523809523514,-0.18261153250142736,-0.11103723404255317,0.016380952380952385,-0.2175189625642281,-0.14926861702127658
NIFTY/German D0,24,4,744,582,1000,False,0.011580952380952358,-0.20577440665524832,-0.23919547872340424,-0.0023619047619046762,-0.2705325829867059,-0.3277925531914894
NIFTY/German D0,25,0,424,424,377,False,0.06613333333333338,-0.11433756805807616,-0.17120181405895696,0.10803809523809527,-0.11433756805807616,-0.17120181405895696
NIFTY/German D0,25,1,587,587,285,False,-0.05279999999999996,0.003024803387779884,0.12585034013605445,-0.03135238095238091,0.1643980641258319,0.20408163265306123
NIFTY/German D0,25,2,999,765,1000,False,-0.0027809523809523284,-0.003932244404113772,0.049886621315192725,0.01897142857142864,-0.027071990320629236,0.06462585034013613
NIFTY/German D0,25,3,876,877,422,False,-0.017523809523809608,-0.01966122202056869,0.021541950113378783,0.005333333333333301,0.003024803387779773,0.10430839002267572
NIFTY/German D0,25,4,956,956,1000,False,-0.024609523809523748,-0.014065335753176034,0.06802721088435382,-0.02499047619047612,-0.008318209316394376,0.07596371882086173
NIFTY/German D1,20,0,554,932,503,False,0.06750476190476185,-0.025095471903982536,-0.07457983193277307,0.09333333333333327,-0.1696672122204037,-0.19117647058823528
NIFTY/German D1,20,1,954,805,915,False,0.05752380952380953,-0.21017457719585386,-0.16386554621848726,0.0932952380952381,-0.13366066557555922,-0.11029411764705876
