method,dataset,configuration,coordinate,n_units,tau_I,sd_paired,resolved,R_needed,exceeds_30,icc_split,design_effect,R_needed_design_adjusted
FairGNN,credit,default,negDP,30,-0.01010719209497029,0.0314500549074953,False,159,True,0.14775363698826227,1.591014547953049,253
FairGNN,credit,default,negEO,30,-0.01360112817595032,0.03533010633510389,False,200,True,0.18565458397939885,1.7426183359175953,349
FairGNN,german,default,dAUC,30,-0.012782222222222212,0.061528501182697815,False,606,True,0.11097649953674227,1.443905998146969,876
FairGNN,german,default,negDP,30,0.09323584636887298,0.18163054951190097,False,5279,True,0.16849185866881097,1.673967434675244,8837
FairGNN,german,default,negEO,30,0.06567982244316169,0.1659298731483982,False,4406,True,0.1629231548469969,1.6516926193879877,7278
FairGNN,pokec_n,default,dAUC,30,-0.005895447951256361,0.005188058432032476,False,5,False,0.0,1.0,5
FairGNN,pokec_n,default,negDP,30,-0.003922356821659583,0.024624710365839863,False,98,True,0.027978553849680357,1.1119142153987214,109
FairGNN,pokec_n,default,negEO,30,3.173030202510002e-05,0.023790287396685542,False,91,True,0.15287014657893272,1.6114805863157309,147
FairGNN,pokec_n_g,default,dAUC,30,-0.005861039554374118,0.005212176765863138,False,5,False,0.0,1.0,5
FairGNN,pokec_n_g,default,negDP,30,-0.00490737538878745,0.011754889476215813,False,23,False,0.04319404841744078,1.1727761936697632,27
FairGNN,pokec_n_g,default,negEO,30,-0.008442991229106571,0.013102208153371722,False,28,False,0.10106298532579697,1.4042519413031878,40
FairGNN,pokec_z,default,dAUC,30,-0.007030128603089603,0.009489718230468317,False,15,False,0.0,1.0,15
FairGNN,pokec_z,default,negDP,30,-0.017961795022491765,0.03177801716961724,False,162,True,0.0,1.0,162
FairGNN,pokec_z,default,negEO,30,-0.013582394797678357,0.02953271209566369,False,140,True,0.0,1.0,140
FairGNN,pokec_z_g,default,dAUC,30,-0.006960510014670895,0.009005725606840686,False,13,False,0.0,1.0,13
FairGNN,pokec_z_g,default,negDP,30,0.001159880801971113,0.015683935139256325,False,40,True,0.09389886441241391,1.3755954576496556,56
FairGNN,pokec_z_g,default,negEO,30,0.009117785424708183,0.018549329539448257,False,56,True,0.22584722656082035,1.9033889062432814,107
FairSIN,bail,GCN,dAUC,30,0.0033323365414344,0.011666736476201098,False,22,False,0.6641410998880533,3.656564399552213,81
FairSIN,bail,GCN,negDP,30,0.0050636385218032895,0.007816716191177058,False,10,False,0.4209309260567227,2.6837237042268907,27
FairSIN,bail,GCN,negEO,30,-0.005636972188986378,0.012623824037841607,False,26,False,0.4357652580649327,2.743061032259731,72
FairSIN,credit,GCN,dAUC,30,-0.04587965452586778,0.04697836889768324,True,354,True,0.0,1.0,354
FairSIN,credit,GCN,negDP,30,0.07656166495356928,0.047066081594622104,True,355,True,0.011386603090555024,1.04554641236222,372
FairSIN,credit,GCN,negEO,30,0.058928185504997475,0.043528306246718544,True,304,True,0.1889909944269895,1.755963977707958,534
FairSIN,german,GCN,dAUC,30,-0.10966095238095237,0.0854041839344723,True,1168,True,0.2652853874342429,2.0611415497369716,2408
FairSIN,german,GCN,negDP,30,0.17890743199046613,0.15219305513296336,True,3707,True,0.5349755831921484,3.1399023327685938,11640
FairSIN,german,GCN,negEO,30,0.13216414412100536,0.12472042233163877,True,2489,True,0.5024769138187792,3.009907655275117,7492
FairSIN,pokec_n,GCN,dAUC,30,0.0027522852895109696,0.008547828272701659,False,12,False,0.7710110557950978,4.084044223180391,50
FairSIN,pokec_n,GCN,negDP,30,-0.001908624742727676,0.029718930910347295,False,142,True,0.07900043889712559,1.3160017555885024,187
FairSIN,pokec_n,GCN,negEO,30,-0.0005040255438316973,0.02546933454157717,False,104,True,0.005336548778053151,1.0213461951122127,107
FairSIN,pokec_z,GCN,dAUC,30,0.0012218753653554773,0.004898128195801556,False,4,False,0.09688345835452848,1.387533833418114,6
FairSIN,pokec_z,GCN,negDP,30,0.01781659615580084,0.018843491118871746,True,57,True,0.0,1.0,57
FairSIN,pokec_z,GCN,negEO,30,0.014248809464120564,0.0154728873774682,True,39,True,0.0,1.0,39
FairVGNN,bail,default,dAUC,30,-0.04213808928704445,0.024340128331434962,True,95,True,0.8437944375923775,4.3751777503695095,416
FairVGNN,bail,default,negDP,30,0.006893771339994484,0.01642571531377739,False,44,True,0.36550114633988934,2.4620045853595576,109
FairVGNN,bail,default,negEO,30,-0.0054177356661364645,0.016528006944848878,False,44,True,0.0,1.0,44
FairVGNN,credit,default,dAUC,30,-0.011991887558647196,0.008223879408334819,True,11,False,0.0,1.0,11
FairVGNN,credit,default,negDP,30,-0.00013312788501763096,0.08428906980310416,False,1137,True,0.0,1.0,1137
FairVGNN,credit,default,negEO,30,-0.01385562841854202,0.0927289509764216,False,1376,True,0.0,1.0,1376
FairVGNN,german,default,dAUC,30,0.012540952380952375,0.043502112020614866,False,303,True,0.48242825737880884,2.929713029515235,888
FairVGNN,german,default,negDP,30,-0.0028977891748784984,0.17764679683798631,False,5050,True,0.42626392564802595,2.705055702592104,13661
FairVGNN,german,default,negEO,30,-0.002549478763136451,0.18171454246265442,False,5284,True,0.5400844846984104,3.1603379387936417,16700
GEAR,bail,default,dAUC,30,0.0026206539107915074,0.006632043457470272,False,8,False,0.22783716660589776,1.911348666423591,16
GEAR,bail,default,negDP,30,0.016000176658312805,0.046648268006565935,False,349,True,0.9101732716254223,4.640693086501689,1620
GEAR,bail,default,negEO,30,0.02459840256574032,0.03373873896005044,False,183,True,0.7556897736787132,4.022759094714853,737
NIFTY,bail,default,dAUC,30,-0.025871430808994508,0.052752789018880225,False,446,True,0.0,1.0,446
NIFTY,bail,default,negDP,30,0.000953085630577253,0.016865207584716692,False,46,True,0.0,1.0,46
NIFTY,bail,default,negEO,30,-0.00043577851459750025,0.011601420447354308,False,22,False,0.0,1.0,22
NIFTY,credit,default,dAUC,30,-0.023084163526128763,0.029207404792280206,True,137,True,0.0,1.0,137
NIFTY,credit,default,negDP,30,0.016687013339315118,0.028356691038785922,True,129,True,0.0,1.0,129
NIFTY,credit,default,negEO,30,0.01630072475826315,0.029550196604160646,True,140,True,0.0,1.0,140
NIFTY,german,default,dAUC,30,-0.03058920634920633,0.06558602650709836,False,689,True,0.0,1.0,689
NIFTY,german,default,negDP,30,-0.006451846881340765,0.08877634731657034,False,1261,True,0.0,1.0,1261
NIFTY,german,default,negEO,30,0.004244640468480539,0.08878624011788623,False,1262,True,0.0,1.0,1262
SFG,bail,default,dAUC,30,0.0021207433223233707,0.022763844775821315,False,83,True,0.0,1.0,83
SFG,bail,default,negDP,30,0.020155288693842956,0.035711677327507095,False,205,True,0.4736104955411038,2.894441982164415,594
SFG,bail,default,negEO,30,0.007004775222389703,0.03138335183069418,False,158,True,0.24505823814015687,1.9802329525606275,313
SFG,credit,default,dAUC,30,-0.009024333368179463,0.0055621374687458295,False,5,False,0.23418501519763285,1.9367400607905314,10
SFG,credit,default,negDP,30,-0.0014645119121810862,0.032202662731573746,False,166,True,0.37091779236762884,2.483671169470515,413
SFG,credit,default,negEO,30,0.0011074170919870329,0.02279686407893801,False,84,True,0.2480867174005514,1.9923468696022058,168
SFG,german,default,dAUC,30,-0.011873015873015876,0.03882501564200252,False,242,True,0.0,1.0,242
SFG,german,default,negDP,30,0.07339332584567933,0.1512207559417078,False,3659,True,0.0,1.0,3659
SFG,german,default,negEO,30,0.06468968161141524,0.13072972748918105,False,2735,True,0.0,1.0,2735
