pair_id,method,dataset,primary_configuration,alternative_configuration,varied_factor,coordinate,n_splits,n_matched_units,tau_primary,tau_alternative,delta_attr,ci_low,ci_high,ci_excludes_zero,bootstrap_seed,bootstrap_reps
P07,FairGNN,pokec_z,default,upstreamGAT,upstream,dAUC,6,30,-0.007030128603089603,-0.04529716038722558,-0.03826703178413599,-0.06442185535509608,-0.01696317063589383,True,20260914,10000
P07,FairGNN,pokec_z,default,upstreamGAT,upstream,negDP,6,30,-0.017961795022491765,-0.01503815954166927,0.002923635480822495,-0.07748884560364049,0.07743328758219424,False,20260914,10000
P07,FairGNN,pokec_z,default,upstreamGAT,upstream,negEO,6,30,-0.013582394797678357,-0.025725981085964945,-0.012143586288286592,-0.07852650919790173,0.048874743618717666,False,20260914,10000
P08,FairGNN,pokec_n,default,upstreamGCN,upstream,dAUC,6,30,-0.005895447951256361,-0.0388088990754935,-0.03291345112423713,-0.038632381462020846,-0.027738835816264913,True,20260914,10000
P08,FairGNN,pokec_n,default,upstreamGCN,upstream,negDP,6,30,-0.003922356821659583,0.025543386390073988,0.02946574321173357,-0.018870182466659,0.08422197855923987,False,20260914,10000
P08,FairGNN,pokec_n,default,upstreamGCN,upstream,negEO,6,30,3.173030202510002e-05,0.027495170009867034,0.02746343970784193,-0.0106890076157956,0.06961096226991474,False,20260914,10000
P09,FairGNN,pokec_z,default,upstreamGCN,upstream,dAUC,6,30,-0.007030128603089603,-0.04537410522630721,-0.03834397662321762,-0.045644764266048375,-0.031041956142977847,True,20260914,10000
P09,FairGNN,pokec_z,default,upstreamGCN,upstream,negDP,6,30,-0.017961795022491765,0.028115864297815787,0.04607765932030756,0.016107893372980703,0.07683101442052948,True,20260914,10000
P09,FairGNN,pokec_z,default,upstreamGCN,upstream,negEO,6,30,-0.013582394797678357,0.029545101070678877,0.04312749586835725,0.014022507659517328,0.07128271806050453,True,20260914,10000
P10,FairSIN,bail,GCN,GIN,encoder,dAUC,6,30,0.0033323365414344,0.00662164776907388,0.00328931122763948,-0.019017273118556857,0.02580011092259439,False,20260914,10000
P10,FairSIN,bail,GCN,GIN,encoder,negDP,6,30,0.0050636385218032895,0.00024102766412774045,-0.004822610857675548,-0.01237372766383317,0.0023669248650549533,False,20260914,10000
P10,FairSIN,bail,GCN,GIN,encoder,negEO,6,30,-0.005636972188986378,-0.010675606368361493,-0.005038634179375115,-0.013915345961090675,0.003543287463796973,False,20260914,10000
P11,FairSIN,credit,GCN,GIN,encoder,dAUC,6,30,-0.04587965452586778,-0.03454253545078118,0.0113371190750866,-0.004334307786714283,0.03790906961614246,False,20260914,10000
P11,FairSIN,credit,GCN,GIN,encoder,negDP,6,30,0.07656166495356928,0.06049274789960298,-0.016068917053966302,-0.038261257874469184,0.008802539335918893,False,20260914,10000
P11,FairSIN,credit,GCN,GIN,encoder,negEO,6,30,0.058928185504997475,0.03583459098939653,-0.023093594515600932,-0.041386612497791575,-0.002576275424843773,True,20260914,10000
P12,FairSIN,german,GCN,GIN,encoder,dAUC,6,30,-0.10966095238095237,-0.002854603174603165,0.10680634920634918,0.06569942857142855,0.14730355555555555,True,20260914,10000
P12,FairSIN,german,GCN,GIN,encoder,negDP,6,30,0.17890743199046613,0.0013284817005857327,-0.1775789502898804,-0.261686843760779,-0.09205155579590933,True,20260914,10000
P12,FairSIN,german,GCN,GIN,encoder,negEO,6,30,0.13216414412100536,-0.009252633588896556,-0.14141677770990188,-0.21745348522624183,-0.06328315161836007,True,20260914,10000
P13,FairSIN,pokec_n,GCN,GIN,encoder,dAUC,6,30,0.0027522852895109696,0.005317402141658615,0.0025651168521476455,-0.005822130506660945,0.013759433101282643,False,20260914,10000
P13,FairSIN,pokec_n,GCN,GIN,encoder,negDP,6,30,-0.001908624742727676,0.006789535548717904,0.008698160291445578,-0.007722954383640529,0.02608238937840186,False,20260914,10000
P13,FairSIN,pokec_n,GCN,GIN,encoder,negEO,6,30,-0.0005040255438316973,0.0008290845287196905,0.0013331100725513865,-0.0168551315877573,0.018433030178233757,False,20260914,10000
P14,FairSIN,pokec_z,GCN,GIN,encoder,dAUC,6,30,0.0012218753653554773,0.0053110724249815925,0.004089197059626115,-0.004551701112798734,0.013345106701186557,False,20260914,10000
P14,FairSIN,pokec_z,GCN,GIN,encoder,negDP,6,30,0.01781659615580084,0.004171211573977173,-0.013645384581823664,-0.03288076680127508,0.00584537113918355,False,20260914,10000
P14,FairSIN,pokec_z,GCN,GIN,encoder,negEO,6,30,0.014248809464120564,0.004978678147003007,-0.009270131317117559,-0.02481792526917527,0.0073487351768314535,False,20260914,10000
P15,FairSIN,bail,GCN,SAGE,encoder,dAUC,6,30,0.0033323365414344,0.013057227717013635,0.009724891175579235,-0.007330865842907116,0.024463317882739987,False,20260914,10000
P15,FairSIN,bail,GCN,SAGE,encoder,negDP,6,30,0.0050636385218032895,-0.00240061148278458,-0.0074642500045878695,-0.015833635449534325,0.0011924862951690949,False,20260914,10000
P15,FairSIN,bail,GCN,SAGE,encoder,negEO,6,30,-0.005636972188986378,-0.004977227658259668,0.0006597445307267117,-0.009875151453252656,0.012569173754929074,False,20260914,10000
P16,FairSIN,credit,GCN,SAGE,encoder,dAUC,6,30,-0.04587965452586778,-0.013969538080959095,0.03191011644490869,0.01587821153302451,0.056745004808456845,True,20260914,10000
P16,FairSIN,credit,GCN,SAGE,encoder,negDP,6,30,0.07656166495356928,-0.04939466196833363,-0.1259563269219029,-0.17154608699234147,-0.08236500980854966,True,20260914,10000
P16,FairSIN,credit,GCN,SAGE,encoder,negEO,6,30,0.058928185504997475,-0.03830089815519702,-0.09722908366019449,-0.13848219518821703,-0.05910485299032796,True,20260914,10000
P17,FairSIN,german,GCN,SAGE,encoder,dAUC,6,30,-0.10966095238095237,-0.015032380952380957,0.09462857142857142,0.0512732698412698,0.1390022857142857,True,20260914,10000
P17,FairSIN,german,GCN,SAGE,encoder,negDP,6,30,0.17890743199046613,0.004527492260862148,-0.174379939729604,-0.28321432972645116,-0.0725327527621651,True,20260914,10000
P17,FairSIN,german,GCN,SAGE,encoder,negEO,6,30,0.13216414412100536,0.013744389771274925,-0.11841975434973044,-0.2081938423028786,-0.03963111933662354,True,20260914,10000
P18,FairSIN,pokec_n,GCN,SAGE,encoder,dAUC,6,30,0.0027522852895109696,-0.00012771069823162747,-0.002879995987742597,-0.010901767004365065,0.004722038630309299,False,20260914,10000
P18,FairSIN,pokec_n,GCN,SAGE,encoder,negDP,6,30,-0.001908624742727676,0.0019621394150995354,0.003870764157827213,-0.020730530339011764,0.03237345993996622,False,20260914,10000
P18,FairSIN,pokec_n,GCN,SAGE,encoder,negEO,6,30,-0.0005040255438316973,0.009849867982795257,0.010353893526626957,-0.014188113310708815,0.039014287433872114,False,20260914,10000
P19,FairSIN,pokec_z,GCN,SAGE,encoder,dAUC,6,30,0.0012218753653554773,-0.0028323524916814002,-0.004054227857036878,-0.008806394080260785,0.000952955708988052,False,20260914,10000
P19,FairSIN,pokec_z,GCN,SAGE,encoder,negDP,6,30,0.01781659615580084,-0.003426633735740707,-0.021243229891541544,-0.03485061689304777,-0.009627503234308514,True,20260914,10000
P19,FairSIN,pokec_z,GCN,SAGE,encoder,negEO,6,30,0.014248809464120564,-0.004007303656210586,-0.01825611312033115,-0.028853933137019366,-0.009439918515783558,True,20260914,10000
P20,FairVGNN,bail,default,GCNspmm,upstream,dAUC,6,30,-0.04213808928704445,-0.04081154293947362,0.0013265463475708229,-0.0024965215916732367,0.007208482054939786,False,20260914,10000
P20,FairVGNN,bail,default,GCNspmm,upstream,negDP,6,30,0.006893771339994484,0.008108139796816537,0.001214368456822052,-0.003017513091378013,0.005868469194256432,False,20260914,10000
P20,FairVGNN,bail,default,GCNspmm,upstream,negEO,6,30,-0.0054177356661364645,-0.0033673893856575694,0.0020503462804788938,-0.005093203484026468,0.009333674289418045,False,20260914,10000
P21,FairVGNN,german,default,GCNspmm,upstream,dAUC,6,30,0.012540952380952375,0.02267428571428571,0.010133333333333336,-0.00830012698412698,0.030971428571428573,False,20260914,10000
P21,FairVGNN,german,default,GCNspmm,upstream,negDP,6,30,-0.0028977891748784984,0.046062953301798264,0.04896074247667678,-0.032533246668255855,0.13495662708233994,False,20260914,10000
P21,FairVGNN,german,default,GCNspmm,upstream,negEO,6,30,-0.002549478763136451,0.0637736724477025,0.06632315121083895,-0.02848076418643688,0.15747107142857147,False,20260914,10000
P22,FairVGNN,credit,default,GIN,encoder,dAUC,6,30,-0.011991887558647196,-0.0721500308713353,-0.060158143312688095,-0.08643948746153206,-0.036730153922905844,True,20260914,10000
P22,FairVGNN,credit,default,GIN,encoder,negDP,6,30,-0.00013312788501763096,0.0961371352568849,0.09627026314190255,0.04526485311166826,0.15289612654737808,True,20260914,10000
P22,FairVGNN,credit,default,GIN,encoder,negEO,6,30,-0.01385562841854202,0.08008267625661736,0.09393830467515936,0.03799933540700602,0.15816653707051856,True,20260914,10000
P23,FairVGNN,german,default,GIN,encoder,dAUC,6,30,0.012540952380952375,0.021193650793650796,0.00865269841269842,-0.021663809523809523,0.043194095238095226,False,20260914,10000
P23,FairVGNN,german,default,GIN,encoder,negDP,6,30,-0.0028977891748784984,0.08104309041465574,0.08394087958953426,0.0005402544080554184,0.15846271786050306,True,20260914,10000
P23,FairVGNN,german,default,GIN,encoder,negEO,6,30,-0.002549478763136451,0.08840460868153409,0.09095408744467053,0.0034656615895472015,0.1633018202455332,True,20260914,10000
P24,FairVGNN,bail,default,SAGE,encoder,dAUC,6,30,-0.04213808928704445,0.012125670522714339,0.054263759809758776,0.037223788996692896,0.07808561962510426,True,20260914,10000
P24,FairVGNN,bail,default,SAGE,encoder,negDP,6,30,0.006893771339994484,0.02375029400472407,0.01685652266472958,-0.01798990421447554,0.057974934908070284,False,20260914,10000
P24,FairVGNN,bail,default,SAGE,encoder,negEO,6,30,-0.0054177356661364645,0.019220161249173615,0.02463789691531008,-0.004823812923260476,0.05946967417947411,False,20260914,10000
P25,FairVGNN,credit,default,SAGE,encoder,dAUC,6,30,-0.011991887558647196,-0.008862439882249655,0.0031294476763975418,-0.0016693696069545268,0.00824147627623276,False,20260914,10000
P25,FairVGNN,credit,default,SAGE,encoder,negDP,6,30,-0.00013312788501763096,0.023066280293404837,0.023199408178422466,-0.03357882010202232,0.09179275146531526,False,20260914,10000
P25,FairVGNN,credit,default,SAGE,encoder,negEO,6,30,-0.01385562841854202,0.01384190032113867,0.027697528739680687,-0.04024401533484202,0.1046409382043942,False,20260914,10000
P26,FairVGNN,german,default,SAGE,encoder,dAUC,6,30,0.012540952380952375,0.024020317460317454,0.011479365079365079,-0.018548190476190482,0.04127765079365079,False,20260914,10000
P26,FairVGNN,german,default,SAGE,encoder,negDP,6,30,-0.0028977891748784984,0.0327102852121982,0.03560807438707671,-0.09293145718484115,0.1706954093401067,False,20260914,10000
P26,FairVGNN,german,default,SAGE,encoder,negEO,6,30,-0.002549478763136451,0.03911025232788152,0.041659731091017976,-0.1014711128631417,0.19772054742907808,False,20260914,10000
