arm,split_id,run_id,seed,hidden,lr,epochs,feature_normalize,bc_epoch,test_auc,test_auc_neg_score,test_dp,test_eo,val_auc_at_bc,val_auc_min,val_auc_max,val_auc_final,val_bce_at_bc,val_bce_final,n_val_epochs_auc_below_half,n_val_epochs
probe_norm,21,3,30,64,0.01,1000,True,0,0.5990857142857143,0.4009142857142857,0.08660933660933667,0.10399999999999998,0.6386285714285714,0.6386285714285714,0.7005714285714286,0.684495238095238,0.6062600904824916,0.8275917276647835,0,1001
repro,21,4,31,16,0.001,200,False,200,0.4035809523809524,0.5964190476190476,0.017813267813267808,0.01200000000000001,0.42392380952380954,0.3968761904761905,0.5491809523809524,0.42392380952380954,0.7892526021891363,0.7892526021891363,185,201
repro_H1000,21,4,31,16,0.001,1000,False,998,0.6846476190476191,0.31535238095238094,0.10350122850122856,0.06800000000000006,0.7077333333333333,0.3968,0.713447619047619,0.7075047619047619,0.5742179488692768,0.5742227880448352,264,1001
probe,21,4,31,64,0.01,1000,False,49,0.627352380952381,0.37264761904761906,0.02226658476658472,0.01200000000000001,0.6195809523809523,0.4186666666666667,0.7065904761904762,0.6749714285714286,0.6457089044192198,5.643559200138925,69,1001
probe_norm,21,4,31,64,0.01,1000,True,3,0.5868952380952381,0.4131047619047619,0.014127764127764175,0.07199999999999995,0.6070857142857143,0.6012952380952381,0.7001142857142857,0.6839619047619048,0.6062443546360783,0.8262164930625226,0,1001
repro,22,0,27,16,0.001,200,False,100,0.3626666666666667,0.6373333333333333,0.009675405742821441,0.01200000000000001,0.34514285714285714,0.33508571428571426,0.5692952380952381,0.39116190476190477,0.7451339003017082,0.7672670886280903,164,201
repro_H1000,22,0,27,16,0.001,1000,False,1000,0.5564571428571429,0.4435428571428571,0.5232521847690387,0.46399999999999997,0.6168380952380952,0.33508571428571426,0.6566857142857143,0.6168380952380952,0.6192991141200953,0.6192991141200953,315,1001
probe,22,0,27,64,0.01,1000,False,90,0.527847619047619,0.47215238095238093,0.08333333333333337,0.09999999999999998,0.6035428571428572,0.4308571428571429,0.6752761904761905,0.6710095238095238,1.0341966183263676,2.7416883535649292,40,1001
probe_norm,22,0,27,64,0.01,1000,True,0,0.3622095238095238,0.6377904761904762,0.0,0.0,0.4908190476190476,0.4908190476190476,0.6399238095238096,0.6391619047619047,0.6246074729420871,0.8024883030227042,1,1001
repro,22,1,28,16,0.001,200,False,88,0.43451428571428574,0.5654857142857143,0.059300873907615514,0.09199999999999997,0.43238095238095237,0.3980952380952381,0.5625142857142857,0.41226666666666667,0.7276866507945576,0.7514827227213284,179,201
