method,dataset,backbone,split_id,run_id,seed,selector,provenance,n_flip,n_flip_a1,n_flip_a0,n_test_a1,n_test_a0,dp_min_step,protocol,method_epochs,b_epochs,eval_rng_seed,rng_contract,feature_normalize,m1_epoch,m0_epoch,code_epoch,m1_auc,m1_dp,m1_eo,m0_auc,m0_dp,m0_eo,b_auc,b_dp,b_eo,bc_epoch,bc_auc,bc_dp,bc_eo,m1pub_auc,m1pub_dp,m1pub_eo,int_dauc,int_ndp,int_neo,pkg_dauc,pkg_ndp,pkg_neo,eo_defined
NIFTY,german,GCN,22,0,27,common_bce,official-repo,18,4,14,72,178,0.0056179775280898875,armA,200,200,-1,deterministic-inference,0,197,200,197,0.46613333333333334,0.013732833957553064,0.01999999999999999,0.46377142857142856,0.03682896379525591,0.0,0.36274285714285714,0.009675405742821441,0.01200000000000001,100,0.36274285714285714,0.009675405742821441,0.01200000000000001,0.4681142857142857,0.005149812734082382,0.016000000000000014,0.0023619047619047873,0.023096129837702845,-0.01999999999999999,0.10537142857142856,0.0045255930087390595,-0.0040000000000000036,True
NIFTY,german,GCN,22,0,27,common_auc,official-repo,0,0,0,72,178,0.0056179775280898875,armA,200,200,-1,deterministic-inference,0,94,90,197,0.5960380952380953,0.0,0.0,0.5968761904761904,0.0,0.0,0.36274285714285714,0.009675405742821441,0.01200000000000001,2,0.5838476190476191,0.0,0.0,0.4681142857142857,0.005149812734082382,0.016000000000000014,-0.0008380952380951934,-0.0,-0.0,0.10537142857142856,0.0045255930087390595,-0.0040000000000000036,True
NIFTY,german,GCN,22,1,28,common_bce,official-repo,23,4,19,72,178,0.0056179775280898875,armA,200,200,-1,deterministic-inference,0,200,200,200,0.5091809523809524,0.01700998751560548,0.05200000000000002,0.5323428571428571,0.0784956304619226,0.03999999999999998,0.43443809523809523,0.059300873907615514,0.09199999999999997,88,0.43443809523809523,0.059300873907615514,0.09199999999999997,0.5091809523809524,0.01700998751560548,0.05200000000000002,-0.023161904761904717,0.061485642946317115,-0.012000000000000038,0.07474285714285717,0.042290886392010035,0.03999999999999995,True
NIFTY,german,GCN,22,1,28,common_auc,official-repo,72,16,56,72,178,0.0056179775280898875,armA,200,200,-1,deterministic-inference,0,50,200,200,0.5920761904761904,0.0,0.0,0.5323428571428571,0.09238451935081149,0.03999999999999998,0.43443809523809523,0.059300873907615514,0.09199999999999997,12,0.5755428571428571,0.0,0.0,0.5091809523809524,0.01700998751560548,0.05200000000000002,0.059733333333333305,0.09238451935081149,0.03999999999999998,0.07474285714285717,0.042290886392010035,0.03999999999999995,True
NIFTY,german,GCN,22,2,29,common_bce,official-repo,111,29,82,72,178,0.0056179775280898875,armA,200,200,-1,deterministic-inference,0,200,113,200,0.4233142857142857,0.14575530586766544,0.16000000000000003,0.36274285714285714,0.08785892634207249,0.10799999999999998,0.4505523809523809,0.34737827715355807,0.37999999999999995,200,0.45066666666666666,0.34737827715355807,0.37999999999999995,0.4233142857142857,0.14575530586766544,0.16000000000000003,0.060571428571428554,-0.057896379525592956,-0.052000000000000046,-0.027238095238095228,0.20162297128589263,0.21999999999999992,True
NIFTY,german,GCN,22,2,29,common_auc,official-repo,0,0,0,72,178,0.0056179775280898875,armA,200,200,-1,deterministic-inference,0,0,7,200,0.5839238095238095,0.0,0.0,0.5840761904761905,0.0,0.0,0.4505523809523809,0.34737827715355807,0.37999999999999995,18,0.5824,0.0,0.0,0.4233142857142857,0.14575530586766544,0.16000000000000003,-0.0001523809523810149,-0.0,-0.0,-0.027238095238095228,0.20162297128589263,0.21999999999999992,True
NIFTY,german,GCN,22,3,30,common_bce,official-repo,124,43,81,72,178,0.0056179775280898875,armA,200,200,-1,deterministic-inference,0,200,200,189,0.3722666666666667,0.10845817727840201,0.07600000000000001,0.4790857142857143,0.033707865168539325,0.032,0.4368761904761905,0.01997503121098626,0.06,200,0.4368761904761905,0.01997503121098626,0.06,0.3722666666666667,0.10845817727840201,0.07600000000000001,-0.10681904761904759,-0.07475031210986269,-0.04400000000000001,-0.06460952380952378,-0.08848314606741575,-0.016000000000000014,True
NIFTY,german,GCN,22,3,30,common_auc,official-repo,0,0,0,72,178,0.0056179775280898875,armA,200,200,-1,deterministic-inference,0,28,27,189,0.5778285714285715,0.0,0.0,0.5780571428571428,0.0,0.0,0.4368761904761905,0.01997503121098626,0.06,56,0.5862857142857143,0.0,0.0,0.3722666666666667,0.10845817727840201,0.07600000000000001,-0.00022857142857135582,-0.0,-0.0,-0.06460952380952378,-0.08848314606741575,-0.016000000000000014,True
NIFTY,german,GCN,22,4,31,common_bce,official-repo,12,0,12,72,178,0.0056179775280898875,armA,200,200,-1,deterministic-inference,0,200,197,200,0.5320380952380952,0.047752808988763995,0.09199999999999997,0.543847619047619,0.008426966292134797,0.04400000000000004,0.3551238095238095,0.07709113607990015,0.124,200,0.3551238095238095,0.07709113607990015,0.124,0.5320380952380952,0.047752808988763995,0.09199999999999997,-0.011809523809523825,-0.0393258426966292,-0.04799999999999993,0.1769142857142857,0.02933832709113615,0.03200000000000003,True
NIFTY,german,GCN,22,4,31,common_auc,official-repo,0,0,0,72,178,0.0056179775280898875,armA,200,200,-1,deterministic-inference,0,51,51,200,0.5832380952380952,0.0,0.0,0.5831619047619048,0.0,0.0,0.3551238095238095,0.07709113607990015,0.124,0,0.5733333333333334,0.0,0.0,0.5320380952380952,0.047752808988763995,0.09199999999999997,7.619047619045194e-05,-0.0,-0.0,0.1769142857142857,0.02933832709113615,0.03200000000000003,True
NIFTY,german,GCN,23,0,27,common_bce,official-repo,13,7,6,80,170,0.0058823529411764705,armA,200,200,-1,deterministic-inference,0,196,200,196,0.4439619047619048,0.09264705882352939,0.08000000000000002,0.44297142857142857,0.04044117647058826,0.0,0.40064761904761903,0.03749999999999998,0.02400000000000002,89,0.4006095238095238,0.03749999999999998,0.02400000000000002,0.44403809523809523,0.06985294117647059,0.08400000000000002,0.0009904761904762083,-0.05220588235294113,-0.08000000000000002,0.0433904761904762,-0.03235294117647061,-0.06,True
NIFTY,german,GCN,23,0,27,common_auc,official-repo,0,0,0,80,170,0.0058823529411764705,armA,200,200,-1,deterministic-inference,0,99,91,196,0.5351619047619047,0.0,0.0,0.5318857142857143,0.0,0.0,0.40064761904761903,0.03749999999999998,0.02400000000000002,1,0.5450666666666667,0.0,0.0,0.44403809523809523,0.06985294117647059,0.08400000000000002,0.0032761904761904326,-0.0,-0.0,0.0433904761904762,-0.03235294117647061,-0.06,True
NIFTY,german,GCN,23,1,28,common_bce,official-repo,39,10,29,80,170,0.0058823529411764705,armA,200,200,-1,deterministic-inference,0,200,200,200,0.5059809523809524,0.11691176470588235,0.092,0.5722666666666667,0.22573529411764703,0.188,0.48975238095238094,0.0051470588235293935,0.03199999999999992,80,0.48975238095238094,0.0051470588235293935,0.03199999999999992,0.5059809523809524,0.11691176470588235,0.092,-0.06628571428571428,0.10882352941176468,0.096,0.01622857142857148,-0.11176470588235296,-0.06000000000000008,True
NIFTY,german,GCN,23,1,28,common_auc,official-repo,0,0,0,80,170,0.0058823529411764705,armA,200,200,-1,deterministic-inference,0,56,54,200,0.5395047619047619,0.0,0.0,0.5422476190476191,0.0,0.0,0.48975238095238094,0.0051470588235293935,0.03199999999999992,13,0.5426285714285715,0.0,0.0,0.5059809523809524,0.11691176470588235,0.092,-0.002742857142857158,-0.0,-0.0,0.01622857142857148,-0.11176470588235296,-0.06000000000000008,True
