split_id,run_id,frozen_auc_B,frozen_bc_epoch,repro_test_auc,repro_test_auc_neg_score,repro_bc_epoch,repro_val_auc_at_bc,repro_val_auc_max,repro_n_val_epochs_auc_below_half,repro_n_val_epochs,repro_H1000_test_auc,repro_H1000_bc_epoch,repro_H1000_val_auc_at_bc,repro_H1000_val_auc_max,probe_test_auc,probe_bc_epoch,probe_val_auc_at_bc,probe_norm_test_auc,probe_norm_bc_epoch
23,2,0.4457875714285714,200.0,0.4457142857142857,0.5542857142857143,200,0.4979047619047619,0.6105142857142857,177,201,0.6639238095238095,999,0.6637714285714286,0.7280761904761904,0.6797714285714286,703,0.7027809523809524,0.6045714285714285,3
23,3,0.39616285714285715,200.0,0.3961904761904762,0.6038095238095238,200,0.3839619047619048,0.6082285714285715,184,201,0.655847619047619,999,0.6583619047619048,0.7275428571428572,0.683047619047619,316,0.696,0.6307809523809523,0
23,4,0.447162,72.0,0.4471619047619047,0.5528380952380952,72,0.4719238095238095,0.6052571428571428,164,201,0.6542095238095238,999,0.6580952380952381,0.7124190476190476,0.6832,143,0.6937142857142857,0.6006095238095238,3
24,0,0.3589549285714285,102.0,0.3590095238095238,0.6409904761904762,102,0.3571809523809524,0.5668571428571428,160,201,0.672,653,0.6542476190476191,0.6613333333333333,0.614552380952381,24,0.6275047619047619,0.4211809523809524,0
24,1,0.4838045,200.0,0.4838095238095238,0.5161904761904762,200,0.5281523809523809,0.5621333333333334,144,201,0.6485333333333333,816,0.6803809523809524,0.6812190476190476,0.6671238095238096,344,0.679847619047619,0.6355047619047619,15
24,2,0.5535457142857143,200.0,0.5535238095238095,0.4464761904761904,200,0.5427809523809524,0.564952380952381,139,201,0.6618666666666667,990,0.6774857142857142,0.6786666666666666,0.6732190476190476,687,0.6777904761904762,0.6432,23
24,3,0.4445411428571428,200.0,0.4445714285714285,0.5554285714285714,200,0.4459428571428571,0.5624380952380953,185,201,0.6799238095238095,709,0.6583619047619048,0.6627809523809524,0.6559238095238096,308,0.6771047619047619,0.5606857142857142,0
24,4,0.49013621428571424,200.0,0.4900571428571428,0.5099428571428571,200,0.4305142857142857,0.5578666666666666,190,201,0.6491428571428571,498,0.6301714285714286,0.6583619047619048,0.6725333333333333,671,0.6814476190476191,0.6355047619047619,21
25,0,0.39974385714285715,85.0,0.3996190476190476,0.6003809523809523,85,0.3351619047619047,0.5545904761904762,167,201,0.6550857142857143,651,0.6388571428571429,0.6427047619047619,0.4894857142857143,6,0.5417142857142857,0.4027428571428571,0
25,1,0.46120271428571424,200.0,0.4612571428571428,0.5387428571428572,200,0.4297142857142857,0.5476571428571428,181,201,0.5745523809523809,743,0.6285714285714286,0.6323047619047619,0.6482285714285714,467,0.659047619047619,0.548647619047619,2
25,2,0.5201112857142857,200.0,0.5200761904761905,0.4799238095238095,200,0.4176,0.5504,182,201,0.6268190476190476,631,0.6165333333333334,0.6303238095238095,0.5698285714285715,44,0.6362666666666666,0.512,3
25,3,0.400076,200.0,0.4000761904761905,0.5999238095238095,200,0.4445714285714285,0.5502476190476191,182,201,0.6324190476190477,808,0.6058666666666667,0.6197333333333334,0.6138666666666667,623,0.6460190476190476,0.5718857142857143,0
25,4,0.4786588571428571,200.0,0.4786285714285714,0.5213714285714286,200,0.3449142857142857,0.5430857142857143,194,201,0.6278095238095238,666,0.6156952380952381,0.6249142857142858,0.6388571428571429,54,0.5395047619047619,0.5234285714285715,3
