cell,method,dataset,configuration,pairing,coordinate,n_splits,n_matched_units,tau_a,tau_b,delta,abs_delta,max_unit_abs_delta,n_units_changed,ci_low,ci_high,ci_excludes_zero,bootstrap_seed,bootstrap_reps
FairGB_bail,FairGB,bail,default,frozen vs rep1,dAUC,6,30,0.019466089432959945,0.020005878074812824,0.0005397886418528823,0.0005397886418528823,0.036490906043658455,30,-0.00361589489910398,0.005184706638978445,False,20260914,10000
FairGB_bail,FairGB,bail,default,frozen vs rep1,negDP,6,30,-0.05967847882306418,-0.06590782618027252,-0.006229347357208332,0.006229347357208332,0.09446910738131334,30,-0.023317215020657985,0.009808216108715753,False,20260914,10000
FairGB_bail,FairGB,bail,default,frozen vs rep1,negEO,6,30,-0.0654411114118266,-0.07322854002012599,-0.007787428608299402,0.007787428608299402,0.11485352042542582,30,-0.027357069949758703,0.007496815471918726,False,20260914,10000
FairGB_bail,FairGB,bail,default,frozen vs rep2,dAUC,6,30,0.019466089432959945,0.01749736803572176,-0.001968721397238182,0.001968721397238182,0.01818284262856129,30,-0.005135743222835418,0.0015653853872986826,False,20260914,10000
FairGB_bail,FairGB,bail,default,frozen vs rep2,negDP,6,30,-0.05967847882306418,-0.060488717900399995,-0.0008102390773358187,0.0008102390773358187,0.08504286787370169,29,-0.013891858703197917,0.010878645111103216,False,20260914,10000
FairGB_bail,FairGB,bail,default,frozen vs rep2,negEO,6,30,-0.0654411114118266,-0.06518008037476716,0.0002610310370594254,0.0002610310370594254,0.07270417446039731,29,-0.015077254760268674,0.013147275534433367,False,20260914,10000
FairGB_bail,FairGB,bail,default,rep1 vs rep2,dAUC,6,30,0.020005878074812824,0.01749736803572176,-0.0025085100390910644,0.0025085100390910644,0.027620701741496778,30,-0.006515462806078204,0.0010466254353232148,False,20260914,10000
FairGB_bail,FairGB,bail,default,rep1 vs rep2,negDP,6,30,-0.06590782618027252,-0.060488717900399995,0.005419108279872514,0.005419108279872514,0.045755034232204006,30,-0.006012300567228909,0.017661811716778823,False,20260914,10000
FairGB_bail,FairGB,bail,default,rep1 vs rep2,negEO,6,30,-0.07322854002012599,-0.06518008037476716,0.008048459645358828,0.008048459645358828,0.09405801613998213,30,-0.004308390292069983,0.021660682084525103,False,20260914,10000
FairSIN-GCN_credit,FairSIN,credit,GCN,frozen vs rep1,dAUC,6,30,-0.04587965452586778,-0.042797108094254625,0.0030825464316131534,0.0030825464316131534,0.18652421580977696,30,-0.02018373849445508,0.02996853218694024,False,20260914,10000
FairSIN-GCN_credit,FairSIN,credit,GCN,frozen vs rep1,negDP,6,30,0.07656166495356928,0.08787412862785639,0.011312463674287091,0.011312463674287091,0.1483385226804996,29,-0.008956442005989931,0.03222263002345491,False,20260914,10000
FairSIN-GCN_credit,FairSIN,credit,GCN,frozen vs rep1,negEO,6,30,0.058928185504997475,0.06717859378687484,0.008250408281877378,0.008250408281877378,0.1405614624137288,29,-0.009816763962365251,0.0273370073859789,False,20260914,10000
FairSIN-GCN_credit,FairSIN,credit,GCN,frozen vs rep2,dAUC,6,30,-0.04587965452586778,-0.034139374627824876,0.011740279898042905,0.011740279898042905,0.23940769553299057,30,-0.014043566206639204,0.04066437069172535,False,20260914,10000
FairSIN-GCN_credit,FairSIN,credit,GCN,frozen vs rep2,negDP,6,30,0.07656166495356928,0.06921429204344261,-0.00734737291012669,0.00734737291012669,0.2070377996398056,30,-0.03586786324841241,0.01648694824701486,False,20260914,10000
FairSIN-GCN_credit,FairSIN,credit,GCN,frozen vs rep2,negEO,6,30,0.058928185504997475,0.051423018379638474,-0.007505167125358985,0.007505167125358985,0.1691379408797607,30,-0.031200255617451607,0.012916663990488473,False,20260914,10000
FairSIN-GCN_credit,FairSIN,credit,GCN,rep1 vs rep2,dAUC,6,30,-0.042797108094254625,-0.034139374627824876,0.008657733466429752,0.008657733466429752,0.12803441284453942,30,-0.00877585132492878,0.02600625370283169,False,20260914,10000
FairSIN-GCN_credit,FairSIN,credit,GCN,rep1 vs rep2,negDP,6,30,0.08787412862785639,0.06921429204344261,-0.01865983658441378,0.01865983658441378,0.2209268719430392,30,-0.04650633913790291,0.00358596873281584,False,20260914,10000
FairSIN-GCN_credit,FairSIN,credit,GCN,rep1 vs rep2,negEO,6,30,0.06717859378687484,0.051423018379638474,-0.015755575407236367,0.015755575407236367,0.18128747359004133,30,-0.038836087428689686,0.003282259321051149,False,20260914,10000
FairVGNN_german,FairVGNN,german,default,frozen vs rep1,dAUC,6,30,0.012540952380952375,0.012624761904761897,8.380952380952304e-05,8.380952380952304e-05,0.0022857142857142243,3,-5.079365079363463e-06,0.0003149206349206272,False,20260914,10000
FairVGNN_german,FairVGNN,german,default,frozen vs rep1,negDP,6,30,-0.0028977891748784984,0.007198079464499582,0.010095868639378083,0.010095868639378083,0.31351435705368297,2,-0.0014184397163120662,0.041801914273824396,False,20260914,10000
FairVGNN_german,FairVGNN,german,default,frozen vs rep1,negEO,6,30,-0.002549478763136451,0.0057886164749587875,0.008338095238095238,0.008338095238095238,0.26799999999999996,2,-0.0023809523809523725,0.035733333333333325,False,20260914,10000
FairVGNN_german,FairVGNN,german,default,frozen vs rep2,dAUC,6,30,0.012540952380952375,0.012629841269841265,8.888888888889021e-05,8.888888888889021e-05,0.0022857142857142243,4,-1.0158730158726926e-05,0.000322603174603182,False,20260914,10000
FairVGNN_german,FairVGNN,german,default,frozen vs rep2,negDP,6,30,-0.0028977891748784984,0.007052598467954761,0.009950387642833262,0.009950387642833262,0.31351435705368297,2,-0.002000363702491348,0.041801914273824396,False,20260914,10000
FairVGNN_german,FairVGNN,german,default,frozen vs rep2,negEO,6,30,-0.002549478763136451,0.006418868575799121,0.008968347338935572,0.008968347338935572,0.26799999999999996,2,0.0,0.035768347338935566,False,20260914,10000
FairVGNN_german,FairVGNN,german,default,rep1 vs rep2,dAUC,6,30,0.012624761904761897,0.012629841269841265,5.0793650793671635e-06,5.0793650793671635e-06,0.00022857142857146684,2,-1.0158730158726926e-05,3.0476190476195578e-05,False,20260914,10000
FairVGNN_german,FairVGNN,german,default,rep1 vs rep2,negDP,6,30,0.007198079464499582,0.007052598467954761,-0.00014548099654482043,0.00014548099654482043,0.004364429896344613,1,-0.0005819239861792817,0.0,False,20260914,10000
FairVGNN_german,FairVGNN,german,default,rep1 vs rep2,negEO,6,30,0.0057886164749587875,0.006418868575799121,0.0006302521008403339,0.0006302521008403339,0.018907563025210017,1,0.0,0.0025210084033613356,False,20260914,10000
