method,dataset,selector,coordinate,step,from_stage,to_stage,lambda1_fairness,lambda2_propagation,mean,lo,hi,resolved
FMP,pokec_z,auc,dAUC,pkg,B,+propagation+fairness,5.0,0.01,0.0662747289577909,0.0589018747222774,0.0734634407359214,True
FMP,pokec_z,auc,negDP,pkg,B,+propagation+fairness,5.0,0.01,0.0261821302591751,0.0063559902535773,0.0484892801342167,True
FMP,pokec_z,auc,negEO,pkg,B,+propagation+fairness,5.0,0.01,0.0281098426597951,0.0080330244547331,0.0508300159474978,True
FMP,pokec_z,auc,dAUC,pkg,B,+propagation+fairness,30.0,0.01,0.0667892779220347,0.0594055623866643,0.0741364260873416,True
FMP,pokec_z,auc,negDP,pkg,B,+propagation+fairness,30.0,0.01,0.0264588588994519,0.0060879344919041,0.0492413078126858,True
FMP,pokec_z,auc,negEO,pkg,B,+propagation+fairness,30.0,0.01,0.0302793312131498,0.0117828923283354,0.0516254104272522,True
FMP,pokec_z,auc,dAUC,pkg,B,+propagation+fairness,5.0,20.0,0.0599352638220951,0.0519697045860605,0.0681600297621429,True
FMP,pokec_z,auc,negDP,pkg,B,+propagation+fairness,5.0,20.0,-0.0342803593443666,-0.0490550944147493,-0.017158654252004,True
FMP,pokec_z,auc,negEO,pkg,B,+propagation+fairness,5.0,20.0,-0.0288788901519723,-0.0440767408194082,-0.013262348860296,True
FMP,pokec_z,auc,dAUC,pkg,B,+propagation+fairness,30.0,20.0,0.0598473025995302,0.0518005939854135,0.0681418923058653,True
FMP,pokec_z,auc,negDP,pkg,B,+propagation+fairness,30.0,20.0,-0.0358247355118705,-0.0504858812518952,-0.0188632916837574,True
FMP,pokec_z,auc,negEO,pkg,B,+propagation+fairness,30.0,20.0,-0.030868530795414,-0.0456013893340695,-0.0153094224833686,True
FMP,pokec_n,last,dAUC,base,B,base,0.0,0.0,0.0152346923332259,0.0026114315491454,0.0285334484362282,True
FMP,pokec_n,last,negDP,base,B,base,0.0,0.0,-0.002971971621573,-0.0129651182308268,0.0064092482888332,False
FMP,pokec_n,last,negEO,base,B,base,0.0,0.0,-0.0070566219280666,-0.0345712743988557,0.0200775930964422,False
FMP,pokec_n,last,dAUC,pkg,B,+propagation+fairness,5.0,0.01,0.0159103329953924,0.0039187397953556,0.0284233723765277,True
FMP,pokec_n,last,negDP,pkg,B,+propagation+fairness,5.0,0.01,-0.0029575978971224,-0.0124657303908818,0.0064428611608729,False
FMP,pokec_n,last,negEO,pkg,B,+propagation+fairness,5.0,0.01,-0.0032306714607914,-0.0280451474927091,0.0218804279681518,False
FMP,pokec_n,last,dAUC,pkg,B,+propagation+fairness,30.0,0.01,0.0156098963604333,0.0035885870699313,0.0281262625819159,True
FMP,pokec_n,last,negDP,pkg,B,+propagation+fairness,30.0,0.01,-0.0033716749167993,-0.0121243174284393,0.0052085647339141,False
FMP,pokec_n,last,negEO,pkg,B,+propagation+fairness,30.0,0.01,-0.0011844425163383,-0.0285698799624663,0.0257313888039112,False
FMP,pokec_n,last,dAUC,pkg,B,+propagation+fairness,5.0,20.0,0.0219589844855537,0.0161591752323363,0.0278285179370942,True
FMP,pokec_n,last,negDP,pkg,B,+propagation+fairness,5.0,20.0,-0.0449390609081764,-0.0604066236619329,-0.0305496247695236,True
FMP,pokec_n,last,negEO,pkg,B,+propagation+fairness,5.0,20.0,-0.0086101213707675,-0.037349844379012,0.0198105421263385,False
FMP,pokec_n,last,dAUC,pkg,B,+propagation+fairness,30.0,20.0,0.0217678416314095,0.0156848054466843,0.0278256186277914,True
FMP,pokec_n,last,negDP,pkg,B,+propagation+fairness,30.0,20.0,-0.0422323128488224,-0.0595951755727954,-0.0255606985743083,True
FMP,pokec_n,last,negEO,pkg,B,+propagation+fairness,30.0,20.0,-0.0072109594155709,-0.0360546020751603,0.0207584029837349,False
FMP,pokec_n,bce,dAUC,base,B,base,0.0,0.0,0.0146549113036413,0.0014227898466753,0.0282752588688085,True
FMP,pokec_n,bce,negDP,base,B,base,0.0,0.0,-0.0020880114289573,-0.0191497764784126,0.0122006841621158,False
FMP,pokec_n,bce,negEO,base,B,base,0.0,0.0,-0.0026856056792835,-0.031253396077966,0.0237413749139448,False
FMP,pokec_n,bce,dAUC,pkg,B,+propagation+fairness,5.0,0.01,0.0144540466324737,0.0017503794584351,0.0274393827289586,False
FMP,pokec_n,bce,negDP,pkg,B,+propagation+fairness,5.0,0.01,5.42729577615859e-05,-0.0160796777696821,0.0134870362714459,False
FMP,pokec_n,bce,negEO,pkg,B,+propagation+fairness,5.0,0.01,-0.0009897362998858,-0.02977139202373,0.026417958422904,False
FMP,pokec_n,bce,dAUC,pkg,B,+propagation+fairness,30.0,0.01,0.0143769731334769,0.0018377540382234,0.0272496434966172,True
FMP,pokec_n,bce,negDP,pkg,B,+propagation+fairness,30.0,0.01,-0.0007383355389855,-0.0166506641324825,0.0120906300905558,False
FMP,pokec_n,bce,negEO,pkg,B,+propagation+fairness,30.0,0.01,-0.000517037999802,-0.0282826712776474,0.025800514173803,False
FMP,pokec_n,bce,dAUC,pkg,B,+propagation+fairness,5.0,20.0,0.022006271175841,0.0161274594205831,0.0278735774744742,True
FMP,pokec_n,bce,negDP,pkg,B,+propagation+fairness,5.0,20.0,-0.0445186798663545,-0.0597481374579767,-0.0307907343046953,True
FMP,pokec_n,bce,negEO,pkg,B,+propagation+fairness,5.0,20.0,-0.0098796790914415,-0.0373029446045459,0.0178096580576863,False
FMP,pokec_n,bce,dAUC,pkg,B,+propagation+fairness,30.0,20.0,0.0219729398026154,0.0160468984454581,0.0278818986762376,True
FMP,pokec_n,bce,negDP,pkg,B,+propagation+fairness,30.0,20.0,-0.0412765612909054,-0.0586655513162616,-0.0260909703705,True
FMP,pokec_n,bce,negEO,pkg,B,+propagation+fairness,30.0,20.0,-0.0092486662663359,-0.0362460814630082,0.0173915952830476,False
FMP,pokec_n,auc,dAUC,base,B,base,0.0,0.0,0.0162492970867436,0.0026020390413443,0.0296777873614066,True
FMP,pokec_n,auc,negDP,base,B,base,0.0,0.0,-0.0012574597879454,-0.0156790564182773,0.0112210056170227,False
FMP,pokec_n,auc,negEO,base,B,base,0.0,0.0,-0.0043334229545615,-0.0322230989011198,0.0222882248898581,False
FMP,pokec_n,auc,dAUC,pkg,B,+propagation+fairness,5.0,0.01,0.0154616743324219,0.0016824347272432,0.0290734916094925,False
FMP,pokec_n,auc,negDP,pkg,B,+propagation+fairness,5.0,0.01,-0.0005679233068183,-0.0131556256969467,0.0103066685615892,False
FMP,pokec_n,auc,negEO,pkg,B,+propagation+fairness,5.0,0.01,0.0014430283385224,-0.0255639313793477,0.0273616381782159,False
FMP,pokec_n,auc,dAUC,pkg,B,+propagation+fairness,30.0,0.01,0.0163558565643775,0.0026188223743213,0.0298909169897341,True
FMP,pokec_n,auc,negDP,pkg,B,+propagation+fairness,30.0,0.01,-0.001710607661106,-0.012782705217279,0.0081216375146394,False
FMP,pokec_n,auc,negEO,pkg,B,+propagation+fairness,30.0,0.01,-0.0013123498589154,-0.0285173623681294,0.0232734573204831,False
FMP,pokec_n,auc,dAUC,pkg,B,+propagation+fairness,5.0,20.0,0.0222049033017858,0.0166435504318538,0.0280711591806316,True
FMP,pokec_n,auc,negDP,pkg,B,+propagation+fairness,5.0,20.0,-0.0472264309048089,-0.0610574629558955,-0.033813126846626,True
FMP,pokec_n,auc,negEO,pkg,B,+propagation+fairness,5.0,20.0,-0.0110886718225938,-0.0386517825784396,0.0157917824560157,False
FMP,pokec_n,auc,dAUC,pkg,B,+propagation+fairness,30.0,20.0,0.0222092739579479,0.0166683004184063,0.0280398105858284,True
FMP,pokec_n,auc,negDP,pkg,B,+propagation+fairness,30.0,20.0,-0.0459793094021097,-0.0606381403886592,-0.0318198892899479,True
FMP,pokec_n,auc,negEO,pkg,B,+propagation+fairness,30.0,20.0,-0.0089110016055748,-0.0370387567186647,0.0176635406996553,False
