method,backbone,dataset,configuration,configuration_role,protocol,native_evaluation_role,baseline_reference_protocol,count_in_primary_summary,task_adaptation,status,n_units,tau_nonint_dAUC_mean,tau_nonint_dAUC_lo,tau_nonint_dAUC_hi,tau_nonint_negDP_mean,tau_nonint_negDP_lo,tau_nonint_negDP_hi,tau_nonint_negEO_mean,tau_nonint_negEO_lo,tau_nonint_negEO_hi,tau_I_dAUC_mean,tau_I_dAUC_lo,tau_I_dAUC_hi,tau_I_dAUC_sign_stability,tau_I_dAUC_resolved,tau_I_negDP_mean,tau_I_negDP_lo,tau_I_negDP_hi,tau_I_negDP_sign_stability,tau_I_negDP_resolved,tau_I_negEO_mean,tau_I_negEO_lo,tau_I_negEO_hi,tau_I_negEO_sign_stability,tau_I_negEO_resolved,tau_pkg_dAUC_mean,tau_pkg_dAUC_lo,tau_pkg_dAUC_hi,tau_pkg_negDP_mean,tau_pkg_negDP_lo,tau_pkg_negDP_hi,tau_pkg_negEO_mean,tau_pkg_negEO_lo,tau_pkg_negEO_hi,tau_I_dAUC_auc_selector_mean,tau_I_dAUC_auc_selector_lo,tau_I_dAUC_auc_selector_hi,tau_I_dAUC_auc_selector_sign_stability,tau_I_dAUC_auc_selector_resolved,tau_I_negDP_auc_selector_mean,tau_I_negDP_auc_selector_lo,tau_I_negDP_auc_selector_hi,tau_I_negDP_auc_selector_sign_stability,tau_I_negDP_auc_selector_resolved,tau_I_negEO_auc_selector_mean,tau_I_negEO_auc_selector_lo,tau_I_negEO_auc_selector_hi,tau_I_negEO_auc_selector_sign_stability,tau_I_negEO_auc_selector_resolved,nonint_larger_dAUC,nonint_larger_negDP,nonint_larger_negEO,caveat
EDITS,GCN,bail,default,primary,controlled,,same_protocol,True,,complete,30,0.13045787568914483,0.08395962970488327,0.1781146823588369,-0.035558972817273354,-0.046044659693722144,-0.024717383493285037,-0.00901377994930151,-0.018745464884719492,0.0001630602770765893,-0.03856350297800349,-0.09884804497412804,0.010347566443864831,0.5,False,0.007302170251964043,-0.0032920629248429406,0.019948707015116973,0.6,False,0.005072728242307465,-0.0010116772913302606,0.01166504290361018,0.6666666666666666,False,0.0918943727111413,0.011188302615178902,0.16395378566958896,-0.028256802565309314,-0.04377917619812191,-0.010287661621002005,-0.003941051706994047,-0.013282173716203929,0.005166196299014953,-0.03194865992394024,-0.08993005955114136,0.014551239169215087,0.5333333333333333,False,0.00950575425992789,-0.0010821838266448257,0.02175306503556003,0.6666666666666666,False,0.006440335368644518,0.00019296096879501467,0.013034089376820929,0.7,False,True,True,True,the wrapper's parameter routing was repaired from its own stored values so the structural half of the intervention is active; no native cell: the repository carries no official configuration
EDITS,GCN,credit,default,primary,controlled,,same_protocol,True,,complete,30,0.01121412047894205,0.005116129771336095,0.01799757956966711,-0.2662824376572352,-0.29853298286332,-0.23365346294238698,-0.3266905180392616,-0.36154491136237776,-0.29171219113710156,-0.01300737372395816,-0.020472563150189565,-0.0043690518415184275,0.8,True,0.20922419953234034,0.07555197685846207,0.3396007745643521,0.8666666666666667,True,0.23291161093257853,0.09730465057100603,0.3628585679359377,0.9,True,-0.0017932532450161095,-0.012916648005237744,0.01071314366923319,-0.0570582381248949,-0.19392316565744258,0.0747242569433299,-0.09377890710668309,-0.2336964674551781,0.036944194954665895,-0.011848614222925886,-0.0187418035048193,-0.0037949986390056517,0.8333333333333334,True,0.17421973375084301,0.0515903278306755,0.287011830689387,0.8333333333333334,True,0.19155637926656077,0.06148522485265551,0.3095086597906395,0.8,True,False,True,True,the wrapper's parameter routing was repaired from its own stored values so the structural half of the intervention is active; no native cell: the repository carries no official configuration
EDITS,GCN,german,default,primary,controlled,,same_protocol,True,,complete,30,-0.011301587301587309,-0.03464126984126984,0.016118126984126985,-0.04065079764532158,-0.12162059150767804,0.032095348083323746,-0.06034139107179516,-0.14069887842164053,0.020133333333333288,-0.02890666666666665,-0.06377428571428571,0.006294349206349216,0.8333333333333334,False,0.27597799885437485,0.11787445476602916,0.3992037523747005,0.8666666666666667,True,0.2211369597484384,0.08744079142768219,0.33807121005982177,0.8666666666666667,True,-0.04020825396825396,-0.07159336507936508,-0.005770730158730158,0.2353272012090533,0.07738039399969857,0.3865751881107758,0.16079556867664324,0.02922274644491366,0.27891313034522325,-0.02509714285714286,-0.05714298412698415,0.007149714285714286,0.8,False,0.28696933744309183,0.12868935996119252,0.40482012656959665,0.8666666666666667,True,0.23076238426221557,0.10060059165244112,0.3381162654526942,0.8666666666666667,True,False,False,False,the wrapper's parameter routing was repaired from its own stored values so the structural half of the intervention is active; no native cell: the repository carries no official configuration
FairEdit,GCN,bail,default,primary,controlled,,same_protocol,True,,complete,30,0.12014105721419686,0.07341157583743275,0.16732176302194143,-0.04026010104513955,-0.05502863363845651,-0.025016852896881936,-0.013293678118184925,-0.02340142590971115,-0.0033014243777476793,-5.905497750561631e-06,-2.2146892050073916e-05,7.621344586153281e-06,0.6333333333333333,False,4.3966670641187405e-05,-9.876384778741604e-05,0.000191049577193594,0.7,False,3.541451066885656e-05,-0.00010491383910857718,0.00020829003513407954,0.6666666666666666,False,0.12013515171644631,0.07339770014981856,0.16732058877812567,-0.040216134374498363,-0.055019029989055404,-0.024920937098463464,-0.013258263607516066,-0.023367338288191562,-0.0032276603059348823,-1.112861077179339e-06,-1.121151732774726e-05,9.661961910968536e-06,0.5666666666666667,False,-4.169221498335971e-05,-0.00015466752805307302,5.617249302002659e-05,0.5714285714285714,False,-7.693366164223334e-05,-0.0002383624648138199,0.0,1.0,False,True,True,True,"the repository default deletes 10 undirected edges per run (20 of 642,616 directed entries); the edge-addition branch is disabled (add=False), so a near-zero estimate reflects the size of the intervention; no native cell: the repository carries no official configuration"
FairEdit,GCN,credit,default,primary,controlled,,same_protocol,True,,complete,30,-0.019399905547370328,-0.06516636221018327,0.008439657340733648,0.07668029531546282,0.04810451789841681,0.10669590057979594,0.07389947480614834,0.0452947023891648,0.1038319963081182,-5.108243683660252e-07,-1.1592445261797887e-06,7.05178420750315e-08,0.5666666666666667,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,-0.019400416371738692,-0.06516694651930294,0.00843886551996398,0.07668029531546282,0.04810451789841681,0.10669590057979594,0.07389947480614834,0.0452947023891648,0.1038319963081182,-3.3710968417866026e-07,-1.1936434735553465e-06,5.538660512465389e-07,0.5,False,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,True,True,True,"the repository default deletes 10 undirected edges per run (20 of 2,873,716 directed entries); the edge-addition branch is disabled (add=False), so a near-zero estimate reflects the size of the intervention; no native cell: the repository carries no official configuration"
FairEdit,GCN,german,default,primary,controlled,,same_protocol,True,,complete,30,-0.10936888888888892,-0.17934419047619046,-0.040184888888888895,0.06506526098555718,-0.08547573196764499,0.20986863315854568,0.021169196443352776,-0.1283140885435143,0.16777956083497228,0.00014476190476189754,-2.539682539689179e-06,0.0003352380952380904,0.5652173913043478,False,0.0005512484453886617,-0.001849652566944595,0.0024935731288621464,0.8,False,6.249999999996536e-06,-0.003163076241134762,0.002394326241134744,0.6666666666666666,False,-0.109224126984127,-0.17926911111111107,-0.040027936507936526,0.06561650943094587,-0.0848457915403653,0.21005715759105986,0.02117544644335276,-0.12768421012849585,0.16759720816385057,-2.2857142857148533e-05,-0.0012342857142857181,0.0006120634920634973,0.6071428571428571,False,0.00016999808652839362,-0.011352392092173185,0.007690462217484026,0.8181818181818182,False,-0.0006923363198707409,-0.013959616120679938,0.00710257504420206,0.7777777777777778,False,True,True,True,"the repository default deletes 10 undirected edges per run (20 of 44,484 directed entries); the edge-addition branch is disabled (add=False), so a near-zero estimate reflects the size of the intervention; no native cell: the repository carries no official configuration"
FairGB,SAGE,bail,default,primary,controlled,,same_protocol,True,,complete,30,0.12207134185663748,0.07389522908803303,0.17002729714296355,-0.03123745006104372,-0.07121178242676336,0.004245368375179263,-0.033692835799144526,-0.07592443665396019,-0.0038869371066287263,0.019466089432959945,0.007167647945473477,0.030928270188511645,0.8333333333333334,True,-0.05967847882306418,-0.10817409598374039,-0.015625214406395388,0.7333333333333333,False,-0.0654411114118266,-0.11163691233885026,-0.02299047928928465,0.7666666666666667,True,0.14153743128959742,0.09494007984475297,0.18842806188578998,-0.0909159288841079,-0.14476301164009323,-0.03317953306923595,-0.09913394721097114,-0.14611061075175147,-0.052250809286854,0.013269264422424465,0.002392565539545643,0.02418534073063894,0.8,True,-0.081354373918574,-0.13486540318891804,-0.03224881244308475,0.8333333333333334,True,-0.07111087142631216,-0.10823662710549219,-0.03803360018126957,0.9,True,True,False,False,
FairGB,SAGE,bail,default,primary,native,targeted,controlled_fixed_reference,False,,complete,30,0.12193974683143897,0.07420780179070505,0.16960010405410506,-0.03189321793045117,-0.07245622519877377,0.003990801661723761,-0.03169861811121086,-0.07334953419866218,-0.0017511437742751882,0.062444490872115774,0.05530129055533617,0.0691246247521732,1.0,True,-0.010277096017912745,-0.036280622761011835,0.014528705666863288,0.5333333333333333,False,0.002037832208821971,-0.02003987824204889,0.02162801110972422,0.6,False,0.18438423770355475,0.13830613519992985,0.23023539331571646,-0.042170313948363916,-0.07231095411525154,-0.011787356635325204,-0.029660785902388888,-0.064523924019192,-0.00041037652618512174,0.042280930905421205,0.036524585955093704,0.04817849577406151,1.0,True,-0.010005216722781644,-0.04134196860425532,0.019389561757166877,0.5666666666666667,False,-0.024444515358517972,-0.04396948520161289,-0.00904027393352605,0.7666666666666667,True,True,True,True,"native protocol for the method arms only: the baseline is the fixed controlled reference trained at H = 200, so tau_I is a within-protocol contrast while tau_nonint and tau_pkg are measured against that fixed reference and are not a same-protocol B -> M contrast"
FairGB,SAGE,credit,default,primary,controlled,,same_protocol,True,,complete,30,0.030627054627626757,0.024711289548770783,0.03693072188736567,0.048626035085297184,0.017405883279917704,0.08072911842812501,0.04866748245919192,0.0161119711113016,0.08122254894912341,-0.007588469706756196,-0.010726658327673853,-0.004264721812100767,0.8333333333333334,False,0.013940207380883534,-0.01763191382186305,0.05015046665479856,0.5666666666666667,False,0.007903880457788002,-0.022386498320567428,0.042296982279308386,0.5666666666666667,False,0.02303858492087056,0.0165601523040914,0.029413492658593856,0.06256624246618071,0.027025970298277382,0.0965819570463869,0.05657136291697993,0.02203787152073603,0.08932190031694788,-0.005642631330967174,-0.007834218065659843,-0.0036448194566087804,0.9,False,-0.015680211403196077,-0.04006486493195414,0.005385888460663579,0.5,False,-0.024591807455726568,-0.053184947009081864,0.00035317987221330713,0.6,False,True,True,True,
FairGB,SAGE,credit,default,primary,native,targeted,controlled_fixed_reference,False,,complete,30,0.0291263128315263,0.023291459107718137,0.03506211319028668,0.06395619490556605,0.023475317680072494,0.10062713191849335,0.06217555378015198,0.020842451334199475,0.10068182374404823,0.0032477594159636652,-0.00034720654920181496,0.0071358834442578995,0.6666666666666666,False,0.08101070359283453,0.042922456373891395,0.121840006751986,0.8666666666666667,True,0.06827733372007459,0.029172537392978662,0.11035532866838146,0.8666666666666667,True,0.03237407224748997,0.025925511418610176,0.038842649135862335,0.1449668984984006,0.11935015714551753,0.17068920129500884,0.13045288750022657,0.1025435685085775,0.15789370362179386,-0.0035761816459806916,-0.006021236422348499,-0.0013067744306570056,0.8,False,0.07721984874744946,0.04545226868731082,0.11667860073430802,0.9,True,0.06807396400665496,0.035889772959012654,0.11070260683138902,0.8666666666666667,True,True,False,False,"native protocol for the method arms only: the baseline is the fixed controlled reference trained at H = 200, so tau_I is a within-protocol contrast while tau_nonint and tau_pkg are measured against that fixed reference and are not a same-protocol B -> M contrast"
