method,dataset,varied_factor,coordinate,primary_configuration,robustness_configuration,primary_backbone,robustness_backbone,primary_tau_I_mean,primary_tau_I_lo,primary_tau_I_hi,primary_resolved,robustness_tau_I_mean,robustness_tau_I_lo,robustness_tau_I_hi,robustness_resolved,sign_changed,resolution_changed,abs_shift
FairSIN,bail,backbone (encoder),negEO,GCN,SAGE,GCN,SAGE,-0.005636972188986378,-0.013816321844539417,0.0014564562541606316,False,-0.004977227658259668,-0.013970977472419226,0.004644723395465379,False,False,False,0.0006597445307267103
FairSIN,credit,backbone (encoder),dAUC,GCN,SAGE,GCN,SAGE,-0.04587965452586778,-0.07089475140689115,-0.030503011206454676,True,-0.013969538080959095,-0.017042156417379897,-0.010570431251347368,True,False,False,0.03191011644490868
FairSIN,credit,backbone (encoder),negDP,GCN,SAGE,GCN,SAGE,0.07656166495356928,0.05502304092388726,0.09850948563704924,True,-0.04939466196833363,-0.08824233684502365,-0.012591379912325902,False,True,True,0.1259563269219029
FairSIN,credit,backbone (encoder),negEO,GCN,SAGE,GCN,SAGE,0.058928185504997475,0.03685191032030444,0.08278337696205541,True,-0.03830089815519702,-0.07029061325579374,-0.008477390894458842,False,True,True,0.0972290836601945
FairSIN,german,backbone (encoder),dAUC,GCN,SAGE,GCN,SAGE,-0.10966095238095237,-0.156119873015873,-0.060102857142857166,True,-0.015032380952380957,-0.04992800000000003,0.015779873015872997,False,False,True,0.09462857142857142
FairSIN,german,backbone (encoder),negDP,GCN,SAGE,GCN,SAGE,0.17890743199046613,0.08268979502894816,0.2758666299799678,True,0.004527492260862148,-0.050592511161790546,0.05527503297873214,False,False,True,0.17437993972960397
FairSIN,german,backbone (encoder),negEO,GCN,SAGE,GCN,SAGE,0.13216414412100536,0.054022426506802446,0.21019859943977587,True,0.013744389771274925,-0.036680894682341,0.06145301898537186,False,False,True,0.11841975434973043
FairSIN,pokec_n,backbone (encoder),dAUC,GCN,SAGE,GCN,SAGE,0.0027522852895109696,-0.0019442564466656382,0.009614802353025871,False,-0.00012771069823162747,-0.006663082234551252,0.006282444877425529,False,True,False,0.002879995987742597
FairSIN,pokec_n,backbone (encoder),negDP,GCN,SAGE,GCN,SAGE,-0.001908624742727676,-0.01827734634291023,0.010588651790492743,False,0.0019621394150995354,-0.014932755920487274,0.0189672734893712,False,True,False,0.0038707641578272114
FairSIN,pokec_n,backbone (encoder),negEO,GCN,SAGE,GCN,SAGE,-0.0005040255438316973,-0.01262824039144696,0.010793342330507784,False,0.009849867982795257,-0.00889891193813469,0.031463216885530935,False,True,False,0.010353893526626953
FairSIN,pokec_z,backbone (encoder),dAUC,GCN,SAGE,GCN,SAGE,0.0012218753653554773,-0.0011110372811228971,0.003656516399979563,False,-0.0028323524916814002,-0.006572355124722652,0.0008922842176877124,False,True,False,0.004054227857036878
FairSIN,pokec_z,backbone (encoder),negDP,GCN,SAGE,GCN,SAGE,0.01781659615580084,0.010381576838153555,0.02759849609030877,True,-0.003426633735740707,-0.011812785617840443,0.003967472330479731,False,True,True,0.021243229891541548
FairSIN,pokec_z,backbone (encoder),negEO,GCN,SAGE,GCN,SAGE,0.014248809464120564,0.008237306779462862,0.02119602557630859,True,-0.004007303656210586,-0.010767011743475108,0.002562604057296054,False,True,True,0.018256113120331152
FairVGNN,bail,"propagation (spmm), with that published row's hyperparameters",dAUC,default,GCNspmm,GCN,GCN,-0.04213808928704445,-0.062323884313722495,-0.026824069306947144,True,-0.04081154293947362,-0.058711119695128364,-0.02732313664008046,True,False,False,0.0013265463475708242
FairVGNN,bail,"propagation (spmm), with that published row's hyperparameters",negDP,default,GCNspmm,GCN,GCN,0.006893771339994484,-0.002756453659066201,0.01651663449996371,False,0.008108139796816537,-0.0023151625145326625,0.018091869838126756,False,False,False,0.0012143684568220528
FairVGNN,bail,"propagation (spmm), with that published row's hyperparameters",negEO,default,GCNspmm,GCN,GCN,-0.0054177356661364645,-0.011927240429787583,0.0010499453272957823,False,-0.0033673893856575694,-0.012444231598772,0.005715789196862666,False,False,False,0.002050346280478895
