method,dataset,configuration,coordinate,n_splits,n_units,frozen_mean,frozen_resolved,split_mean,split_lo,split_hi,split_sign_stability,t_resolved,t_resolved_ci_only,loso_resolved_count,loso_all_resolved,loso_none_resolved,mean_shift
FairEdit,german,default,negEO,6,30,6.249999999996536e-06,False,6.249999999996529e-06,-0.0010433086134299877,0.0010558086134299807,0.16666666666666666,False,False,0,False,True,-6.776263578034403e-21
FairGB,bail,default,dAUC,6,30,0.0194660894329599,True,0.019466089432959948,0.003751478014841887,0.03518070085107801,0.8333333333333334,True,True,2,False,False,4.85722573273506e-17
FairGB,bail,default,negDP,6,30,-0.0596784788230641,False,-0.05967847882306417,-0.12506665485311796,0.0057096972069896265,0.8333333333333334,False,False,0,False,True,-6.938893903907228e-17
FairGB,bail,default,negEO,6,30,-0.0654411114118266,True,-0.0654411114118266,-0.12505621694889224,-0.005826005874760953,1.0,True,True,2,False,False,0.0
FairGB,credit,default,dAUC,6,30,-0.0075884697067561,False,-0.00758846970675616,-0.011108421729871826,-0.004068517683640494,1.0,False,False,0,False,True,-5.984795992119984e-17
FairGB,credit,default,negDP,6,30,0.0139402073808835,False,0.013940207380883536,-0.01995030207085706,0.04783071683262413,0.6666666666666666,False,False,0,False,True,3.642919299551295e-17
FairGB,credit,default,negEO,6,30,0.007903880457788,False,0.007903880457788,-0.026898296798125946,0.04270605771370195,0.5,False,False,0,False,True,0.0
FairGB,german,default,dAUC,6,30,0.0319492063492063,True,0.03194920634920632,0.008946933309737629,0.054951479388675006,0.8333333333333334,True,True,6,True,False,2.0816681711721685e-17
FairGB,german,default,negDP,6,30,-0.0272614874554293,False,-0.02726148745542936,-0.08930968653216514,0.034786711621306435,0.6666666666666666,False,False,0,False,True,-5.898059818321144e-17
FairGB,german,default,negEO,6,30,-0.0164672323657595,False,-0.016467232365759536,-0.06500136913507096,0.032066904403551894,0.6666666666666666,False,False,0,False,True,-3.469446951953614e-17
FairGNN,bail,default,dAUC,6,30,9.175842509176284e-05,False,9.17584250917461e-05,1.1509753184392365e-05,0.00017200709699909984,0.8333333333333334,False,False,0,False,True,-1.6737371037744975e-17
FairGNN,bail,default,negDP,6,30,-5.56999503948663e-06,False,-5.569995039486629e-06,-0.00012244929445355036,0.00011130930437457711,0.3333333333333333,False,False,0,False,True,8.470329472543003e-22
FairGNN,bail,default,negEO,6,30,2.62154967479438e-05,False,2.621549674794381e-05,-0.000417046495517137,0.00046947748901302467,0.5,False,False,0,False,True,1.0164395367051604e-20
FairGNN,credit,default,dAUC,6,30,0.0049428363452535,False,0.0049428363452535705,-0.005712384105211468,0.015598056795718608,0.6666666666666666,False,False,0,False,True,7.025630077706069e-17
FairGNN,credit,default,negDP,6,30,-0.0101071920949702,False,-0.01010719209497029,-0.02891769588620622,0.00870331169626564,0.6666666666666666,False,False,0,False,True,-9.020562075079397e-17
FairGNN,credit,default,negEO,6,30,-0.0136011281759503,False,-0.013601128175950319,-0.03577542881813161,0.00857317246623097,0.6666666666666666,False,False,0,False,True,-1.9081958235744878e-17
FairGNN,german,default,dAUC,6,30,-0.0127822222222222,False,-0.012782222222222197,-0.04774985242772582,0.022185407983281433,0.6666666666666666,False,False,0,False,True,3.469446951953614e-18
FairGNN,german,default,negDP,6,30,0.0932358463688729,False,0.09323584636887298,-0.018357764468965004,0.20482945720671097,0.8333333333333334,False,False,1,False,False,8.326672684688674e-17
FairGNN,german,default,negEO,6,30,0.0656798224431616,False,0.06567982244316171,-0.03554696044046121,0.16690660532678464,0.8333333333333334,False,False,1,False,False,1.1102230246251565e-16
FairGNN,pokec_n,default,dAUC,6,30,-0.0058954479512563,False,-0.005895447951256323,-0.008288682233533821,-0.003502213668978824,1.0,False,False,0,False,True,-2.2551405187698492e-17
FairGNN,pokec_n,default,negDP,6,30,-0.0039223568216595,False,-0.0039223568216595825,-0.016132399888322633,0.008287686245003468,0.5,False,False,0,False,True,-8.239936510889834e-17
FairGNN,pokec_n,default,negEO,6,30,3.173030202510002e-05,False,3.1730302025100163e-05,-0.014293798497066634,0.014357259101116834,0.3333333333333333,False,False,0,False,True,1.4230153513872246e-19
FairGNN,pokec_n_g,default,dAUC,6,30,-0.0058610395543741,False,-0.005861039554374087,-0.008248402684779284,-0.0034736764239688906,1.0,False,False,0,False,True,1.3010426069826053e-17
FairGNN,pokec_n_g,default,negDP,6,30,-0.0049073753887874,False,-0.00490737538878745,-0.010899688759714476,0.0010849379821395765,0.8333333333333334,False,False,0,False,True,-5.0306980803327406e-17
FairGNN,pokec_n_g,default,negEO,6,30,-0.0084429912291065,False,-0.008442991229106573,-0.015781132800456066,-0.0011048496577570786,1.0,False,False,0,False,True,-7.28583859910259e-17
FairGNN,pokec_z,default,dAUC,6,30,-0.0070301286030896,False,-0.00703012860308959,-0.00942354899051311,-0.00463670821566607,1.0,False,False,0,False,True,1.0408340855860843e-17
FairGNN,pokec_z,default,negDP,6,30,-0.0179617950224917,False,-0.01796179502249176,-0.03227767203673853,-0.0036459180082449947,1.0,True,True,5,False,False,-6.245004513516506e-17
FairGNN,pokec_z,default,negEO,6,30,-0.0135823947976783,False,-0.013582394797678352,-0.023070449065647432,-0.004094340529709273,1.0,True,True,6,True,False,-5.204170427930421e-17
FairGNN,pokec_z_g,default,dAUC,6,30,-0.0069605100146708,False,-0.006960510014670882,-0.009090150570009732,-0.004830869459332032,1.0,False,False,0,False,True,-8.239936510889834e-17
