method,backbone,dataset,configuration,n_units,tau_pkg_dAUC_mean,tau_pkg_dAUC_lo,tau_pkg_dAUC_hi,tau_nonint_dAUC_mean,tau_nonint_dAUC_lo,tau_nonint_dAUC_hi,tau_I_dAUC_mean,tau_I_dAUC_lo,tau_I_dAUC_hi,tau_I_dAUC_sign_stability,tau_I_dAUC_resolved,tau_pkg_negDP_mean,tau_pkg_negDP_lo,tau_pkg_negDP_hi,tau_nonint_negDP_mean,tau_nonint_negDP_lo,tau_nonint_negDP_hi,tau_I_negDP_mean,tau_I_negDP_lo,tau_I_negDP_hi,tau_I_negDP_sign_stability,tau_I_negDP_resolved,tau_pkg_negEO_mean,tau_pkg_negEO_lo,tau_pkg_negEO_hi,tau_nonint_negEO_mean,tau_nonint_negEO_lo,tau_nonint_negEO_hi,tau_I_negEO_mean,tau_I_negEO_lo,tau_I_negEO_hi,tau_I_negEO_sign_stability,tau_I_negEO_resolved,nonint_larger_dAUC,nonint_larger_negDP,nonint_larger_negEO,caveat
FairEdit,GCN,german,default,30,-0.109224126984127,-0.17926911111111107,-0.040027936507936526,-0.10936888888888892,-0.17934419047619046,-0.040184888888888895,0.00014476190476189754,-2.539682539689179e-06,0.0003352380952380904,0.5652173913043478,False,0.06561650943094587,-0.0848457915403653,0.21005715759105986,0.06506526098555718,-0.08547573196764499,0.20986863315854568,0.0005512484453886617,-0.001849652566944595,0.0024935731288621464,0.8,False,0.02117544644335276,-0.12768421012849585,0.16759720816385057,0.021169196443352776,-0.1283140885435143,0.16777956083497228,6.249999999996536e-06,-0.003163076241134762,0.002394326241134744,0.6666666666666666,False,True,True,True,"the repository default deletes 10 undirected edges per run (20 of 44,484 directed entries); the edge-addition branch is disabled (add=False), so a near-zero estimate reflects the size of the intervention; no native cell: the repository carries no official configuration"
FairGB,SAGE,bail,default,30,0.14153743128959742,0.09494007984475297,0.18842806188578998,0.12207134185663748,0.07389522908803303,0.17002729714296355,0.019466089432959945,0.007167647945473477,0.030928270188511645,0.8333333333333334,True,-0.0909159288841079,-0.14476301164009323,-0.03317953306923595,-0.03123745006104372,-0.07121178242676336,0.004245368375179263,-0.05967847882306418,-0.10817409598374039,-0.015625214406395388,0.7333333333333333,False,-0.09913394721097114,-0.14611061075175147,-0.052250809286854,-0.033692835799144526,-0.07592443665396019,-0.0038869371066287263,-0.0654411114118266,-0.11163691233885026,-0.02299047928928465,0.7666666666666667,True,True,False,False,
FairGB,SAGE,credit,default,30,0.02303858492087056,0.0165601523040914,0.029413492658593856,0.030627054627626757,0.024711289548770783,0.03693072188736567,-0.007588469706756196,-0.010726658327673853,-0.004264721812100767,0.8333333333333334,False,0.06256624246618071,0.027025970298277382,0.0965819570463869,0.048626035085297184,0.017405883279917704,0.08072911842812501,0.013940207380883534,-0.01763191382186305,0.05015046665479856,0.5666666666666667,False,0.05657136291697993,0.02203787152073603,0.08932190031694788,0.04866748245919192,0.0161119711113016,0.08122254894912341,0.007903880457788002,-0.022386498320567428,0.042296982279308386,0.5666666666666667,False,True,True,True,
FairGB,SAGE,german,default,30,-0.014222222222222226,-0.05548190476190475,0.018929079365079347,-0.04617142857142856,-0.08167190476190477,-0.013670507936507932,0.03194920634920633,0.009963047619047576,0.05693485714285712,0.7586206896551724,True,0.026308550664711373,-0.1019258933363583,0.139812645383915,0.05357003812014073,-0.07554836421995509,0.17491383589315246,-0.027261487455429348,-0.09533111009212276,0.031636204658468725,0.5517241379310345,False,0.011939027508166401,-0.12109933506736027,0.1264066666666666,0.028406259873925935,-0.09606689164525148,0.1414459293983551,-0.016467232365759532,-0.07482802242971659,0.03437275217208633,0.5517241379310345,False,True,True,True,
FairGNN,GCN,bail,default,30,0.12711480593743593,0.08014379113759529,0.17450741213308107,0.12702304751234414,0.07997964986839542,0.17446738787717378,9.175842509176283e-05,1.2453601027120067e-05,0.00019196271641163393,0.5333333333333333,False,-0.038938508682512654,-0.0496271970427549,-0.027920110987846945,-0.03893293868747316,-0.04967711734542929,-0.027910707888727737,-5.56999503948663e-06,-0.00023013799943770897,0.00018949350997933588,0.5625,False,-0.014160063582906373,-0.023028694296837533,-0.006450397069856496,-0.014186279079654317,-0.023114765534765658,-0.006329263954610031,2.6215496747943796e-05,-0.0004473276655060164,0.0004499455171175953,0.6666666666666666,False,True,True,True,
FairGNN,GCN,credit,default,30,-0.003419484121050309,-0.011963494022512126,0.006126696414188366,-0.008362320466303882,-0.019533109494222982,0.0019141504524648135,0.004942836345253572,-0.003951290858338689,0.013872226038785414,0.6,False,-0.009272318266419891,-0.04320413098517367,0.025857590753629867,0.0008348738285503989,-0.03132088742818431,0.03252996482236336,-0.01010719209497029,-0.026526576587728914,0.005214957899024715,0.6333333333333333,False,-0.008520646661664636,-0.04514065875277227,0.02830647210710401,0.005080481514285681,-0.02867366979590898,0.037179629734347755,-0.01360112817595032,-0.032730592050679595,0.003666969322721092,0.6333333333333333,False,True,False,False,
FairGNN,GCN,german,default,30,-0.07354412698412698,-0.12685473015873014,-0.030374190476190464,-0.06076190476190477,-0.10440485714285715,-0.02164269841269844,-0.012782222222222212,-0.040970412698412687,0.021240571428571418,0.6333333333333333,False,0.15039866563170015,0.03850228002209347,0.26123199978210226,0.05716281926282719,-0.005512426990704056,0.1242110038881098,0.09323584636887298,-0.001523953742560222,0.18460452123140186,0.7333333333333333,False,0.099451087822836,-0.0008596069580314611,0.19966667785066158,0.03377126537967431,-0.03254554194298881,0.09876909127480776,0.06567982244316169,-0.022954697495280573,0.14798727866634254,0.7407407407407407,False,True,False,False,
FairGNN,GCN,pokec_n,default,30,-0.005538390707765665,-0.008264137605377107,-0.002919360343107399,0.00035705724349069563,-0.0024334930605055876,0.002982982998231214,-0.005895447951256361,-0.00836202160797401,-0.00368829015492358,0.9333333333333333,False,-0.007675932021722555,-0.02280982266765723,0.00630848740300785,-0.0037535752000629713,-0.0122814685647891,0.0068069196960760334,-0.003922356821659583,-0.01568436915039828,0.006971975686088758,0.5333333333333333,False,-0.0009991238129446248,-0.015453036876941308,0.012189264021440507,-0.001030854114969724,-0.009540124506708242,0.0069663425607291276,3.173030202510002e-05,-0.01129152219958395,0.012808432069121509,0.5,False,False,False,True,
FairGNN,GCN,pokec_n_g,default,30,-0.005244258929699974,-0.00807237196661533,-0.0025494221867070595,0.000616780624674144,-0.002241520738809982,0.003367116313321056,-0.005861039554374118,-0.00832352622238575,-0.0036341062250526586,0.9,False,-0.009307489876178942,-0.019778132371701618,-4.866656524619078e-05,-0.0044001144873914945,-0.011391461158731683,0.002680346043589288,-0.00490737538878745,-0.010834102613744656,0.00022288743168781322,0.6333333333333333,False,-0.012427299674221938,-0.021272586993102933,-0.003087024106147194,-0.00398430844511537,-0.011792773729756525,0.0030441889376920436,-0.008442991229106571,-0.014959079315098328,-0.002021350799834495,0.6666666666666666,False,False,False,False,
FairGNN,GCN,pokec_z,default,30,0.017230084867994485,0.009857217176633215,0.024433651608473415,0.024260213471084088,0.018222065180167085,0.03082813810254293,-0.007030128603089603,-0.010747748310503865,-0.003488519969715184,0.6333333333333333,False,-0.05433166987024065,-0.07939895220615154,-0.028361709599362857,-0.0363698748477489,-0.0580299568456297,-0.01631449722019313,-0.017961795022491765,-0.0340993691809975,-0.005237436079416074,0.7,False,-0.042523732064651446,-0.06513595294175628,-0.019725370844912472,-0.028941337266973104,-0.048425345934138296,-0.009227870063310141,-0.013582394797678357,-0.026274874945730525,-0.001730461342237266,0.6333333333333333,False,True,True,True,
