analysis,method,dataset,coordinate,term,mean,lo,hi,resolved,note
selection-support decomposition,NIFTY,german,negDP,D1.auc.S,-0.03864079371958,-0.1071728390803604,0.0284412011753363,False,
selection-support decomposition,NIFTY,german,negDP,D1.auc.h200,0.009454347492115,-0.0012987656506741,0.0259597864537417,False,
selection-support decomposition,NIFTY,german,negDP,D1.auc.T,0.0002136752136752,-6.0715321659188256e-18,0.0008547008547008,False,
selection-support decomposition,NIFTY,german,negDP,D1.auc.H,-0.0384271185059048,-0.106766973603344,0.0284850608666387,False,
selection-support decomposition,NIFTY,german,negDP,D1.auc.frz,-0.0199825815291569,-0.0917751700127871,0.0489703643633163,False,
selection-support decomposition,NIFTY,german,negEO,D1.auc.S,-0.0391387445699319,-0.098076849529262,0.0144006582633053,False,
selection-support decomposition,NIFTY,german,negEO,D1.auc.h200,0.0084525337321689,-0.0015906273620559,0.0240492997198879,False,
selection-support decomposition,NIFTY,german,negEO,D1.auc.T,0.0002801120448179,-9.020562075079397e-18,0.0011204481792717,False,
selection-support decomposition,NIFTY,german,negEO,D1.auc.H,-0.038858632525114,-0.0976886082028851,0.0144311834733892,False,
selection-support decomposition,NIFTY,german,negEO,D1.auc.frz,-0.0195096478898888,-0.0780160448510077,0.0341200680272108,False,
selection-support decomposition,NIFTY,german,dAUC,D1.auc.S,0.0083250793650793,-0.0126408253968254,0.0296813333333333,False,
selection-support decomposition,NIFTY,german,dAUC,D1.auc.h200,-0.0061371428571428,-0.0208306666666666,0.0029740952380952,False,
selection-support decomposition,NIFTY,german,dAUC,D1.auc.T,0.0001714285714285,-1.0158730158753709e-05,0.0006133333333333,False,
selection-support decomposition,NIFTY,german,dAUC,D1.auc.H,0.0084965079365079,-0.0125619365079365,0.0298251111111111,False,
selection-support decomposition,NIFTY,german,dAUC,D1.auc.frz,0.0034438095238095,-0.0130260952380952,0.018707492063492,False,
selection-support decomposition,NIFTY,german,negDP,D1.fx25,0.0,0.0,0.0,False,
selection-support decomposition,NIFTY,german,negEO,D1.fx25,0.0,0.0,0.0,False,
selection-support decomposition,NIFTY,german,dAUC,D1.fx25,-0.0016736507936507,-0.0034184126984126,-0.0006222222222222,False,
selection-support decomposition,NIFTY,german,negDP,D1.fx50,0.0,0.0,0.0,False,
selection-support decomposition,NIFTY,german,negEO,D1.fx50,0.0,0.0,0.0,False,
selection-support decomposition,NIFTY,german,dAUC,D1.fx50,-0.0053003174603174,-0.0118275555555555,-0.0011783492063492,False,
selection-support decomposition,NIFTY,german,negDP,D1.fx100,0.0154114666176127,-0.0113973696992111,0.0402527109964754,False,
selection-support decomposition,NIFTY,german,negEO,D1.fx100,0.0188855674361943,-0.0095478152505091,0.0444552604166666,False,
selection-support decomposition,NIFTY,german,dAUC,D1.fx100,0.0126082539682539,-0.0097678412698412,0.0369425396825396,False,
selection-support decomposition,NIFTY,german,negDP,D1.fx150,-0.0056058214256176,-0.036100307908692,0.021084006456383,False,
selection-support decomposition,NIFTY,german,negEO,D1.fx150,-0.0037410951378187,-0.0366106000297577,0.0265846415232759,False,
selection-support decomposition,NIFTY,german,dAUC,D1.fx150,-0.0292038095238095,-0.044873873015873,-0.0151567301587301,True,
selection-support decomposition,NIFTY,german,negDP,D1.fx200,0.0011541094134406,-0.0396860434332474,0.0544919993623423,False,
selection-support decomposition,NIFTY,german,negEO,D1.fx200,-0.0015650128431987,-0.0431539922660849,0.0479773830622674,False,
selection-support decomposition,NIFTY,german,dAUC,D1.fx200,-0.0389777777777777,-0.0597663809523809,-0.0206018095238095,True,
selection-support decomposition,NIFTY,german,negDP,D1.fx300,0.0041360982818258,-0.0305289872057629,0.0448958485733974,False,
selection-support decomposition,NIFTY,german,negEO,D1.fx300,0.0124385706587599,-0.0280475791594711,0.0577086545729402,False,
selection-support decomposition,NIFTY,german,dAUC,D1.fx300,-0.056487619047619,-0.0872000634920634,-0.0268330158730158,True,
selection-support decomposition,NIFTY,german,negDP,D1.fx400,0.0060314085962638,-0.0347392386200652,0.0515345486797974,False,
selection-support decomposition,NIFTY,german,negEO,D1.fx400,0.0079060256253801,-0.0286383337556358,0.0467533610633969,False,
selection-support decomposition,NIFTY,german,dAUC,D1.fx400,-0.0521346031746031,-0.0874529523809524,-0.0165987619047619,False,
selection-support decomposition,NIFTY,german,negDP,D1.fx600,-0.0457328108624348,-0.0946697001374798,0.0006877924479076,False,
selection-support decomposition,NIFTY,german,negEO,D1.fx600,-0.0406492363789487,-0.0876275179539901,0.0006236781954211,False,
selection-support decomposition,NIFTY,german,dAUC,D1.fx600,-0.0230920634920635,-0.0518704761904761,0.002597365079365,False,
selection-support decomposition,NIFTY,german,negDP,D1.fx800,-0.0116522338385081,-0.0504760509967727,0.0253417243670219,False,
selection-support decomposition,NIFTY,german,negEO,D1.fx800,0.0055102065648954,-0.0304006731070087,0.0389710555652521,False,
selection-support decomposition,NIFTY,german,dAUC,D1.fx800,-0.026519365079365,-0.0526532698412698,-0.0023666984126984,False,
selection-support decomposition,NIFTY,german,negDP,D1.fx1000,-0.0609027387086478,-0.1130794226751998,-0.0073340188193919,True,
selection-support decomposition,NIFTY,german,negEO,D1.fx1000,-0.0441509963678142,-0.102278337356219,0.0074652154195011,False,
selection-support decomposition,NIFTY,german,dAUC,D1.fx1000,-0.0037028571428571,-0.0372533968253968,0.0252000952380952,False,
selection-support decomposition,NIFTY,german,negDP,D1.L,-0.0430825126716755,-0.0879471024339924,0.0017840569744513,False,
selection-support decomposition,NIFTY,german,negEO,D1.L,-0.0309564952123481,-0.0773662879846087,0.0158281853111615,False,
selection-support decomposition,NIFTY,german,dAUC,D1.L,0.0007530158730158,-0.0289381481481481,0.0294299259259259,False,
selection-support decomposition,FairGB,bail,negDP,bce.cap,-0.0659174581160907,-0.1216731601248412,-0.014347423694796,False,
selection-support decomposition,FairGB,bail,negDP,bce.full,-0.0189338514995949,-0.0520115427950239,0.010187473536853,False,
selection-support decomposition,FairGB,bail,negDP,bce.h200,-0.0596784788230641,-0.1073534693553509,-0.0149651121683402,False,
selection-support decomposition,FairGB,bail,negDP,bce.S,0.0469836066164958,0.0186628719772306,0.0764192222158831,True,
selection-support decomposition,FairGB,bail,negDP,bce.T,-0.0062389792930266,-0.0244732719434589,0.0092723026899057,False,
selection-support decomposition,FairGB,bail,negDP,bce.Hshift,0.0407446273234692,0.0198401601898412,0.0632413078940348,True,
selection-support decomposition,FairGB,bail,negDP,bce.E1,0.0464357920277887,0.0176211473983425,0.0762648301996275,True,
selection-support decomposition,FairGB,bail,negDP,bce.E0,-0.0005478145887071,-0.0021912583548284,0.0,False,
selection-support decomposition,FairGB,bail,negEO,bce.cap,-0.0716382251622545,-0.1201320442118717,-0.0271664082359945,True,
selection-support decomposition,FairGB,bail,negEO,bce.full,-0.013146644161089,-0.0399286316627411,0.0099044912947052,False,
selection-support decomposition,FairGB,bail,negEO,bce.h200,-0.0654411114118265,-0.1112043659844102,-0.0226914894210639,True,
selection-support decomposition,FairGB,bail,negEO,bce.S,0.0584915810011654,0.0255748252214927,0.0899465530837146,True,
selection-support decomposition,FairGB,bail,negEO,bce.T,-0.006197113750428,-0.0242473208925126,0.0084357390659772,False,
selection-support decomposition,FairGB,bail,negEO,bce.Hshift,0.0522944672507374,0.0231637183015368,0.0798386103232755,True,
selection-support decomposition,FairGB,bail,negEO,bce.E1,0.0592801114671153,0.0274906505799687,0.0900056134365373,True,
selection-support decomposition,FairGB,bail,negEO,bce.E0,0.0007885304659498,0.0,0.0031541218637992,False,
selection-support decomposition,FairGB,bail,dAUC,bce.cap,0.0203542769323859,0.0099071303081878,0.0311481044946577,True,
selection-support decomposition,FairGB,bail,dAUC,bce.full,0.0642897229543508,0.0575931728587659,0.0708642119597936,True,
selection-support decomposition,FairGB,bail,dAUC,bce.h200,0.0194660894329599,0.00715888751264,0.0309879749461489,True,
selection-support decomposition,FairGB,bail,dAUC,bce.S,0.0439354460219648,0.0377464326425048,0.0512580175422619,True,
selection-support decomposition,FairGB,bail,dAUC,bce.T,0.000888187499426,-0.0038721366626565,0.0066510004365986,False,
