method,backbone,dataset,configuration,n_units,tau_pkg_dAUC_mean,tau_pkg_dAUC_lo,tau_pkg_dAUC_hi,tau_nonint_dAUC_mean,tau_nonint_dAUC_lo,tau_nonint_dAUC_hi,tau_I_dAUC_mean,tau_I_dAUC_lo,tau_I_dAUC_hi,tau_I_dAUC_sign_stability,tau_I_dAUC_resolved,tau_pkg_negDP_mean,tau_pkg_negDP_lo,tau_pkg_negDP_hi,tau_nonint_negDP_mean,tau_nonint_negDP_lo,tau_nonint_negDP_hi,tau_I_negDP_mean,tau_I_negDP_lo,tau_I_negDP_hi,tau_I_negDP_sign_stability,tau_I_negDP_resolved,tau_pkg_negEO_mean,tau_pkg_negEO_lo,tau_pkg_negEO_hi,tau_nonint_negEO_mean,tau_nonint_negEO_lo,tau_nonint_negEO_hi,tau_I_negEO_mean,tau_I_negEO_lo,tau_I_negEO_hi,tau_I_negEO_sign_stability,tau_I_negEO_resolved,nonint_larger_negDP,nonint_larger_negEO,caveat
FairEdit,GCN,german,default,30,0.10357206349206348,0.049483714285714284,0.15760368253968257,0.10342730158730158,0.049426412698412726,0.1573715555555556,0.00014476190476189754,-2.539682539689179e-06,0.0003352380952380904,0.5652173913043478,False,-0.13449908401291222,-0.23863642010949382,-0.03529146403986937,-0.1350503324583009,-0.2389873026685413,-0.035860473353722506,0.0005512484453886617,-0.001849652566944595,0.0024935731288621464,0.8,False,-0.1200217460447536,-0.2337583352223868,-0.01222529829706709,-0.1200279960447536,-0.23338136292386347,-0.01225008408224405,6.249999999996536e-06,-0.003163076241134762,0.002394326241134744,0.6666666666666666,False,True,True,"the repository default removes 20 of ~44k edges, so a near-zero estimate reflects the size of the intervention; no native cell: the repository carries no official configuration"
FairGB,SAGE,bail,default,30,0.14153739302503315,0.09494014537281929,0.18842807966286873,0.12207130359207324,0.07389526392473006,0.170027322174366,0.019466089432959945,0.007167647945473477,0.030928270188511645,0.8333333333333334,True,-0.0909159288841079,-0.14476301164009323,-0.03317953306923595,-0.03123745006104372,-0.07121178242676336,0.004245368375179263,-0.05967847882306418,-0.10817409598374039,-0.015625214406395388,0.7333333333333333,False,-0.09913394721097114,-0.14611061075175147,-0.052250809286854,-0.033692835799144526,-0.07592443665396019,-0.0038869371066287263,-0.0654411114118266,-0.11163691233885026,-0.02299047928928465,0.7666666666666667,True,False,False,
FairGB,SAGE,credit,default,30,0.021205396217911412,0.015438434535552445,0.027173882241464286,0.028793865924667608,0.023400647128477333,0.03418363704335957,-0.007588469706756196,-0.010726658327673853,-0.004264721812100767,0.8333333333333334,False,0.06315973572788107,0.027986318470525507,0.09814692171042964,0.049219528346997526,0.016943139111765836,0.08596419684375727,0.013940207380883534,-0.01763191382186305,0.05015046665479856,0.5666666666666667,False,0.05690845038604823,0.02362984274831935,0.09043665098844249,0.04900456992826022,0.015233908293011434,0.08735717511890428,0.007903880457788002,-0.022386498320567428,0.042296982279308386,0.5666666666666667,False,True,True,
FairGB,SAGE,german,default,30,0.19856380952380953,0.1402587619047619,0.24652961904761916,0.16661460317460322,0.1209403174603175,0.20804768253968256,0.03194920634920633,0.009963047619047576,0.05693485714285712,0.7586206896551724,True,-0.17380704277914666,-0.2952672916010678,-0.03653197351766675,-0.14654555532371738,-0.2457170619854205,-0.03917653794062164,-0.027261487455429348,-0.09533111009212276,0.031636204658468725,0.5517241379310345,False,-0.12925816497994,-0.2513807378132991,0.01006096672741201,-0.11279093261418043,-0.22014816337646165,0.005922418013304587,-0.016467232365759532,-0.07482802242971659,0.03437275217208633,0.5517241379310345,False,True,True,
FairGNN,GCN,bail,default,30,0.12711476767287166,0.08014374290830077,0.17450734596727208,0.1270230092477799,0.07997960163910094,0.17446732171136478,9.175842509176283e-05,1.2453601027120067e-05,0.00019196271641163393,0.5333333333333333,False,-0.038938508682512654,-0.0496271970427549,-0.027920110987846945,-0.03893293868747316,-0.04967711734542929,-0.027910707888727737,-5.56999503948663e-06,-0.00023013799943770897,0.00018949350997933588,0.5625,False,-0.014160063582906373,-0.023028694296837533,-0.006450397069856496,-0.014186279079654317,-0.023114765534765658,-0.006329263954610031,2.6215496747943796e-05,-0.0004473276655060164,0.0004499455171175953,0.6666666666666666,False,True,True,
FairGNN,GCN,credit,default,30,-0.005252672824009456,-0.014510315547735983,0.00471856479714235,-0.010195509169263029,-0.02080333856919711,-0.0005097903790065729,0.004942836345253572,-0.003951290858338689,0.013872226038785414,0.6,False,-0.008678825004719549,-0.042391502052742586,0.028998645996528034,0.0014283670902507414,-0.031203260504064464,0.035565823399584445,-0.01010719209497029,-0.026526576587728914,0.005214957899024715,0.6333333333333333,False,-0.008183559192596333,-0.0438662835684524,0.031640172354834746,0.005417568983353985,-0.02856758938077511,0.04021368611484349,-0.01360112817595032,-0.032730592050679595,0.003666969322721092,0.6333333333333333,False,False,False,
FairGNN,GCN,german,default,30,0.13924190476190476,0.08290622222222223,0.1945206984126984,0.15202412698412704,0.09260511111111111,0.20678961904761906,-0.012782222222222212,-0.040970412698412687,0.021240571428571418,0.6333333333333333,False,-0.049716927812157904,-0.130176232360391,0.032666690760438384,-0.14295277418103094,-0.2807292289381961,-0.00010018740421047676,0.09323584636887298,-0.001523953742560222,0.18460452123140186,0.7333333333333333,False,-0.041746104665270366,-0.1241469402135854,0.05008347450091147,-0.10742592710843205,-0.24054534634879376,0.03552970528917806,0.06567982244316169,-0.022954697495280573,0.14798727866634254,0.7407407407407407,False,True,True,
FairGNN,GCN,pokec_n,default,30,-0.005538335585529604,-0.008264135194560948,-0.0029193196850252384,0.0003571123657267565,-0.0024333580093013067,0.0029829960839462366,-0.005895447951256361,-0.00836202160797401,-0.00368829015492358,0.9333333333333333,False,-0.007675932021722555,-0.02280982266765723,0.00630848740300785,-0.0037535752000629713,-0.0122814685647891,0.0068069196960760334,-0.003922356821659583,-0.01568436915039828,0.006971975686088758,0.5333333333333333,False,-0.0009991238129446248,-0.015453036876941308,0.012189264021440507,-0.001030854114969724,-0.009540124506708242,0.0069663425607291276,3.173030202510002e-05,-0.01129152219958395,0.012808432069121509,0.5,False,False,True,
FairGNN,GCN,pokec_n_g,default,30,-0.005244286510197223,-0.00807240096803115,-0.0025495969760301225,0.0006167530441768949,-0.002241657248658552,0.0033670091118603793,-0.005861039554374118,-0.00832352622238575,-0.0036341062250526586,0.9,False,-0.009307489876178942,-0.019778132371701618,-4.866656524619078e-05,-0.0044001144873914945,-0.011391461158731683,0.002680346043589288,-0.00490737538878745,-0.010834102613744656,0.00022288743168781322,0.6333333333333333,False,-0.012427299674221938,-0.021272586993102933,-0.003087024106147194,-0.00398430844511537,-0.011792773729756525,0.0030441889376920436,-0.008442991229106571,-0.014959079315098328,-0.002021350799834495,0.6666666666666666,False,False,False,
FairGNN,GCN,pokec_z,default,30,0.017230105077845743,0.009857276137845572,0.024433483297928694,0.024260233680935345,0.018222095153037424,0.030828038258468377,-0.007030128603089603,-0.010747748310503865,-0.003488519969715184,0.6333333333333333,False,-0.05433166987024065,-0.07939895220615154,-0.028361709599362857,-0.0363698748477489,-0.0580299568456297,-0.01631449722019313,-0.017961795022491765,-0.0340993691809975,-0.005237436079416074,0.7,False,-0.042523732064651446,-0.06513595294175628,-0.019725370844912472,-0.028941337266973104,-0.048425345934138296,-0.009227870063310141,-0.013582394797678357,-0.026274874945730525,-0.001730461342237266,0.6333333333333333,False,True,True,
